id,store_id,year_recorded,unit,civic_number,street_name,name,category,latitude,longitude
55,2184,2020,N/A,1032,ALBERNI ST,Black and Blue Restaurant,Food & Beverage,49.28445288453749,-123.12301925401955
56,2185,2020,N/A,1033,ALBERNI ST,Rimowa,Comparison Goods,49.2845455907278,-123.12198907740935
57,2186,2020,N/A,1035,ALBERNI ST,Jimmy Choo,Comparison Goods,49.2845455907278,-123.12198907740935
58,2187,2020,N/A,1037,ALBERNI ST,Vacant,Vacant,49.2845455907278,-123.12198907740935
59,2190,2020,N/A,1054,ALBERNI ST,Coast Restaurant,Food & Beverage,49.28464068115628,-123.12330968558508
60,2191,2020,N/A,1055,ALBERNI ST,Vacheron Constantin Boutique,Comparison Goods,49.2845455907278,-123.12198907740935
61,2193,2020,N/A,1061,ALBERNI ST,Oliver Peoples,Comparison Goods,49.28511832284714,-123.1228733215244
62,2196,2020,101,1076,ALBERNI ST,Off White Vancouver,Comparison Goods,49.28486355788119,-123.12365339959302
63,2200,2020,N/A,1092,ALBERNI ST,Tory Burch,Comparison Goods,49.28486355788119,-123.12365339959302
64,2203,2020,N/A,1108,ALBERNI ST,Blu Bird,Comparison Goods,49.28537197473215,-123.12443709105067
65,2204,2020,N/A,1119,ALBERNI ST,Rolex Boutique,Comparison Goods,49.285945646915266,-123.12415055654643
66,2205,2020,N/A,1121,ALBERNI ST,The Keg Steakhouse + Bar,Food & Beverage,49.285945646915266,-123.12415055654643
67,2207,2020,N/A,1136,ALBERNI ST,Neptune Chinese Kitchen,Food & Beverage,49.28572197263361,-123.12497781051809
68,2210,2020,N/A,1158,ALBERNI ST,A&W Restaurant,Food & Beverage,49.2861674281454,-123.12566603139663
69,2211,2020,N/A,1162,ALBERNI ST,Subway,Food & Beverage,49.2861674281454,-123.12566603139663
70,2215,2020,N/A,1172,ALBERNI ST,Kirin Mandarin Restaurant,Food & Beverage,49.2861674281454,-123.12566603139663
71,2218,2020,N/A,723,BURRARD ST,Tiffany & Co Canada,Comparison Goods,49.2845455907278,-123.12198907740935
72,2220,2020,N/A,753,BURRARD ST,Wolford Canada Inc,Comparison Goods,49.28402648462608,-123.12236084929206
73,2222,2020,202,755,BURRARD ST,Shabusen Japanese Yakiniku,Food & Beverage,49.28402648462608,-123.12236084929206
74,2235,2020,N/A,820,BURRARD ST,Joey Burrard Grill,Food & Beverage,49.282678361394666,-123.1230968580031
75,2240,2020,N/A,860,BURRARD ST,Italian Kitchen,Food & Beverage,49.282678361394666,-123.1230968580031
76,2241,2020,101,888,BURRARD ST,Spence Diamonds Ltd,Comparison Goods,49.28222274385909,-123.12378574369022
77,2243,2020,103,888,BURRARD ST,The Ballyhoo Public House,Food & Beverage,49.28222274385909,-123.12378574369022
78,2246,2020,N/A,900,BURRARD ST,Famous Players Limited Partnership,Entertainment and Leisure,49.28157566920938,-123.12420172466877
79,2251,2020,N/A,1015,BURRARD ST,Beyond Coffee,Food & Beverage,49.28102800353913,-123.12730583075536
80,2252,2020,N/A,1015,BURRARD ST,Absolute Spa,Service Commercial,49.28102800353913,-123.12730583075536
81,2256,2020,102,1100,BURRARD ST,Elysian Coffee #4 Inc,Food & Beverage,49.279688629437324,-123.12761958163081
82,2261,2020,N/A,1200,BURRARD ST,TD Bank,Service Commercial,49.278586012016234,-123.12928611552073
83,2262,2020,N/A,1228,BURRARD ST,NNB Barber Shop,Service Commercial,49.27843990971352,-123.12950686018802
84,2264,2020,N/A,1237,BURRARD ST,Mink Lash Boutique,Service Commercial,49.278790450985134,-123.1302991091638
85,2265,2020,N/A,1242,BURRARD ST,Performance Vision Optometry,Service Commercial,49.27843990971352,-123.12950686018802
86,2267,2020,N/A,1253,BURRARD ST,Burrard Corner Store,Convenience Goods,49.27840772302635,-123.1308809125838
87,2271,2020,N/A,1310,BURRARD ST,Vacant,Vacant,49.27736397555993,-123.13114764230289
88,2273,2020,N/A,1315,BURRARD ST,Bees Knees,Comparison Goods,49.278056215925616,-123.13131502099768
89,2277,2020,N/A,1344,BURRARD ST,Cycle City Tours and Rentals,Comparison Goods,49.27736397555993,-123.13114764230289
90,2279,2020,1,1348,BURRARD ST,Minuteman Press,Service Commercial,49.27736397555993,-123.13114764230289
91,2283,2020,N/A,1354,BURRARD ST,Burrard Dry Cleaner,Service Commercial,49.27736397555993,-123.13114764230289
92,2284,2020,N/A,1361,BURRARD ST,Osaka Sushi,Food & Beverage,49.27776643317156,-123.13204136889718
93,2286,2020,N/A,487,DAVIE ST,Sage Clinic,Service Commercial,49.27598491212113,-123.12353112288253
