id,address,category,name,latitude,longitude
77,2300 Guelph St,Public School,Mount Pleasant Elementary,49.2639657321,-123.09399954
78,4102 W 16th Av,Public School,Norma Rose Point School,49.2577917721,-123.20112784
79,2250 Eddington Drive,Public School,Prince of Wales Secondary,49.2449830531,-123.15953565
80,1300 E Broadway,Public School,Queen Alexandra Elementary,49.2619705491,-123.07592057
81,100 W 15th Av,Public School,Simon Fraser Elementary,49.2571713554,-123.108196899
82,960 E 39th Av,StrongStart BC,Sir Alexander Mackenzie StrongStart,49.2345364351,-123.08671432
83,6901 Elliott St,Public School,Sir Charles Kingsford-Smith,49.2215966731,-123.0557042
84,7668 Borden St,Public School,Sir James Douglas Annex,49.2148304641,-123.07329351
85,4750 St. Catherines St,Public School,Sir Richard McBride Annex,49.2419442292,-123.084950189
86,1401 E 49th Av,Public School,Sir Sandford Fleming Elementary,49.2257476891,-123.07657409
87,3323 Wellington Av,StrongStart BC,Sir Wilfred Grenfell StrongStart Centre,49.2428916207,-123.034807375
88,428 Great Northern Way,Independent School,St Francis Xavier,49.2664623111,-123.094520644
89,1885 W Broadway,Independent School,St John's International,49.2640409804,-123.147898816
90,3000 Commercial Drive,Independent School,Stratford Hall,49.2574692155,-123.069463272
91,1551 E 37th Av,Public School,Tecumseh Annex,49.2371162721,-123.07309884
92,1850 E 41st Av,Public School,Tecumseh Elementary,49.2320557421,-123.06800394
93,788 Beatty St,Independent School,The Westside School,49.2775706443,-123.113443543
94,1130 Keefer St,Public School,Admiral Seymour Elementary,49.2785942691,-123.0803143
95,1110 Cotton Drive,Public School,Britannia Community Elementary,49.2745120086,-123.071378795
96,7835 Champlain Crescent,Public School,Champlain Heights Annex,49.2140784318,-123.030549689
97,7835 Champlain Crescent,StrongStart BC,Champlain Heights Annex StrongStart Cntr,49.2140784318,-123.030549689
98,315 E 23rd Av,Public School,David Livingstone Elementary,49.2507533361,-123.09798144
99,2900 E 44th Av,Public School,Dr George M Weir Elementary,49.2295787591,-123.04440254
100,500 W 20th Av,Public School,Edith Cavell Elementary,49.2529071091,-123.11722884
101,5025 Willow St,Public School,G F Strong School Program,49.2396309611,-123.12579096
102,4251 Ontario St,Public School,General Wolfe Elementary,49.2472287061,-123.10596494
103,2625 Franklin St,Public School,Hastings Community Elementary,49.2826109599,-123.050577409
104,2490 W 37th Av,Independent School,Ivy Montessori School,49.2381148009,-123.162098287
105,801 E 54th Av,Public School,John Henderson Annex,49.2210421431,-123.08804322
106,5555 Carnarvon St,Public School,Kerrisdale Elementary,49.2361682451,-123.17345921
107,6454 Killarney St,Public School,Killarney Secondary,49.2253001041,-123.04415722
108,1936 W 10th Av,Public School,Lord Tennyson Elementary,49.2625189341,-123.14937705
109,1950 E Hastings St,StrongStart BC,MacDonald StrongStart Centre,49.2807239091,-123.06467911
110,5750 Oak St,Independent School,Pacific Torah Institute,49.2334215663,-123.127612255
111,981 Nelson St,Independent School,Pattison High School,49.281083621,-123.125113318
112,981 Nelson St,Independent School,Pattison School,49.281083621,-123.125113318
113,5350 East Boulevard,Public School,Point Grey Secondary,49.2372890361,-123.153430604
114,5300 Maple St,Public School,Quilchena Elementary,49.2372462101,-123.15157081
115,8610 Ash St,Independent School,Royal Canadian College,49.207242015,-123.118607746
116,3323 Wellington Av,Public School,Sir Wilfred Grenfell Community,49.2428916207,-123.034807375
117,7350 Laurel St,Public School,Sir Wilfrid Laurier Elementary,49.2177625341,-123.12504721
118,2325 Cassiar St,StrongStart BC,Thunderbird StrongStart Centre,49.2636488904,-123.031870586
119,2450 Cambridge St,StrongStart BC,Tillicum Annex StrongStart Centre,49.2862634551,-123.05559853
120,2450 Cambridge St,Public School,Tillicum Community Annex,49.2862634551,-123.05559853
121,4170 Trafalgar St,Public School,Trafalgar Elementary,49.2501787561,-123.16460607
122,1580 W Broadway,Public School,Vancouver Alternate,49.2632998823,-123.14026052
123,530 E 41st Av,Public School,Vancouver Learning Network,49.2319571501,-123.09279776
124,998 W 26th Av,Independent School,Vancouver Talmud Torah Elementary,49.2475796719,-123.126822021
125,15 N Renfrew St,Independent School,West Coast Christian School,49.2849844662,-123.044536123
126,4125 W 8th Av,Independent School,West Point Grey Academy,49.2670663451,-123.201507394
127,1130 Keefer St,StrongStart BC,Admiral Seymour StrongStart Centre,49.2785942691,-123.0803143
128,5025 Willow St,Public School,BC Childrens Hosp School Program,49.2396309611,-123.12579096
129,2251 Collingwood St,Public School,Bayview Community Elementary,49.2664870061,-123.18233379
130,1690 Matthews Av,Public School,Canuck Place School Program,49.2516695258,-123.1430624
131,438 Terminal Av,Independent School,Columbia College,49.2715596211,-123.095077685
132,6344 Nanaimo St,Independent School,Corpus Christi School,49.2264061042,-123.05758354
133,8370 Cartier St,StrongStart BC,David Lloyd George StrongStart Centre,49.2099624111,-123.13634891
134,2421 Scarboro Av,Public School,David Oppenheimer Elementary,49.2133181103,-123.05829331
135,2896 W 6th Av,Public School,General Gordon Elementary,49.2659799021,-123.17067418
136,4105 Gladstone St,Public School,Gladstone Secondary,49.2476120351,-123.06163307
137,7455 Ontario St,Public School,J.W. Sexsmith Community Elementary,49.2172677921,-123.10879442
138,530 E 41st Av,Public School,John Oliver Secondary,49.2319571501,-123.09279776
139,2550 W 10th Av,Public School,Kitsilano Secondary,49.2626547721,-123.16358941
140,1166 W 14th Av,Public School,L'Ecole Bilingue Elementary,49.2580840331,-123.1303864
141,3939 W 16th Av,Public School,Lord Byng Secondary,49.2595665501,-123.192530953
142,2235 Kitchener St,Public School,Lord Nelson Elementary,49.2725077371,-123.05971209
143,2235 Kitchener St,StrongStart BC,Lord Nelson StrongStart Centre,49.2725077371,-123.05971209
144,1750 E 22nd Av,StrongStart BC,Lord Selkirk StrongStart Centre,49.2496919521,-123.06900705
145,6360 Maple St,Public School,Magee Secondary,49.2285538651,-123.151537988
146,3375 Nootka St,Public School,Nootka Community Elementary,49.2535929701,-123.04294917
147,2880 Venables St,Independent School,Notre Dame Regional Secondary,49.2758028393,-123.045566628
148,575 Slocan St,Independent School,Our Lady of Sorrows,49.279571216,-123.050153705
149,2409 E Pender St,Independent School,PALS Autism School,49.2805148095,-123.05595433
150,4196 W 4th Av,Independent School,Pacific Spirit School,49.2676679823,-123.198246023
151,5750 Oak St,Independent School,Pacific Torah Institute International,49.2334215663,-123.127612255
152,449 E 62nd Av,Public School,Pierre Elliott Trudeau Elementary,49.2144540041,-123.096959
153,3417 Euclid Av,Public School,Prov. Early Intervention Resource Prg,49.2363485991,-123.032313
154,1300 E Broadway,StrongStart BC,Queen Alexandra StrongStart Centre,49.2619705491,-123.07592057
155,4275 Crown St,Public School,Queen Elizabeth Annex,49.2489367791,-123.19469107
156,2000 Trimble St,Public School,Queen Mary Elementary,49.2678564221,-123.20479699
157,1025 Slocan St,Public School,SD 39 DL Elementary,49.2754163911,-123.05026877
158,2150 Brigadoon Av,Public School,Sir James Douglas Elementary,49.2160493287,-123.064653177
159,250S Skeena St,Public School,Sir John Franklin Community,49.2824961961,-123.02758566
160,1430 Lillooet St,Public School,Sir Matthew Begbie Elementary,49.2718307998,-123.038010037
