stop_id,stop_code,stop_name,zone_id,latitude,longitude,junction_id,junction_dst
697,50690,Eastbound E 22 Ave @ Nanaimo St,BUS ZN,49.250547,-123.055999,5170,91.82921980016715
694,50687,Southbound Nanaimo St @ E 22 Ave,BUS ZN,49.250268,-123.056774,5170,83.36554579854938
695,50688,Nanaimo Station @ Bay 3,BUS ZN,49.248412,-123.055476,5316,159.2491586962101
11113,52095,Westbound W Broadway @ Macdonald St,BUS ZN,49.264156,-123.167544,794,91.4989387575371
699,50692,Southbound Slocan St @ E 29 Ave,BUS ZN,49.24424,-123.050004,5493,100.04301431464584
1549,51537,Eastbound Kincaid St @ Boundary Rd,BUS ZN,49.24878,-123.023043,6510,220.96493408330747
11760,61580,Northbound Wesbrook Mall @ Birney Ave,BUS ZN,49.254485,-123.235195,8,3001.57631826434
11563,58721,Southbound Burrard St @ Burnaby St,BUS ZN,49.278573,-123.130164,2077,46.13810211572348
366,50362,Southbound Dunbar St @ W 17 Ave,BUS ZN,49.257067,-123.185245,405,65.42162375353136
258,50256,Southbound Main St @ E 46 Ave,BUS ZN,49.228145,-123.101625,3191,72.69020510223052
365,50361,Southbound Dunbar St @ W 15 Ave,BUS ZN,49.258657,-123.184116,410,58.66833484538712
252,50250,Southbound Main St @ E 36 Ave,BUS ZN,49.23788,-123.101715,3186,62.081141684717345
250,50248,Southbound Main St @ E 30 Ave,BUS ZN,49.243003,-123.101498,3202,65.53994915139137
251,50249,Southbound Main St @ E 33 Ave,BUS ZN,49.240211,-123.101629,3196,67.56899552308234
256,59041,Southbound Main St @ E 41 Ave,BUS ZN,49.232735,-123.101636,3194,51.483735192629005
257,50255,Southbound Main St @ E 43 Ave,BUS ZN,49.230612,-123.101591,3198,67.05442625108105
255,50253,Eastbound E 41 Ave @ Main St,BUS ZN,49.232967,-123.101913,3193,64.05320092204366
12030,61670,Westbound North Fraser Way @ Fraserwood Court,BUS ZN,49.20149,-123.018581,6554,710.5885808006341
