id,type,street_count,vulnerability_score,longitude,latitude,transit_count,crime_count,stores_count,rtransit_count,schools_count,neighbors
34,Junction,4,1.1600574427434838,-123.2121572,49.26294759,0,2,0,0,0,"[(35, 102.6595466, 4217), (33, 100.5325524, 4418), (57, 221.2799982, 7643), (13, 223.597737, 7737)]"
35,Junction,4,1.0297859656221808,-123.212124,49.26387078,2,2,11,0,0,"[(36, 98.37435089, 4018), (34, 102.6595466, 4217), (58, 221.2247295, 7642), (14, 223.5721647, 7736)]"
36,Junction,4,0.0,-123.2120915,49.26475542,0,0,0,0,0,"[(37, 96.23547722, 3825), (35, 98.37435089, 4018), (60, 221.1148951, 7658), (15, 223.6107204, 7751)]"
37,Junction,4,0.0,-123.2120601,49.26562083,0,0,0,0,0,"[(38, 94.8702014, 3620), (36, 96.23547722, 3825), (61, 221.0531694, 7657), (16, 223.7175669, 7750)]"
38,Junction,4,0.0,-123.2120289,49.26647397,0,0,0,0,0,"[(39, 94.84035191, 3409), (37, 94.8702014, 3620), (62, 221.0676791, 7656), (17, 223.6429441, 7749)]"
39,Junction,4,0.7397003733882802,-123.2119974,49.26732683,0,1,0,0,0,"[(40, 94.94219322, 3160), (38, 94.84035191, 3409), (63, 220.986079, 7655), (18, 223.6857617, 7748)]"
40,Junction,4,1.2361394103058867,-123.2119666,49.26818061,0,2,0,0,0,"[(41, 96.86539573, 2952), (39, 94.94219322, 3160), (64, 221.0393399, 7654), (19, 223.6479775, 7747)]"
41,Junction,4,0.0,-123.2119353,49.26905169,1,0,0,0,0,"[(42, 130.8409665, 2486), (40, 96.86539573, 2952), (65, 221.028275, 7653), (20, 223.6463764, 7746)]"
42,Junction,4,0.0,-123.2118932,49.2702283,0,0,0,0,0,"[(43, 128.7935707, 2286), (41, 130.8409665, 2486), (59, 204.023496, 7652), (21, 223.5926545, 7745)]"
43,Junction,5,0.0,-123.2118517,49.2713865,0,0,0,0,0,"[(44, 88.31569846, 2077), (42, 128.7935707, 2286), (51, 73.94421767, 7651), (24, 344.0830476, 7678), (27, 111.8386344, 7743)]"
44,Junction,3,0.0,-123.211823,49.2721807,0,0,0,0,0,"[(45, 51.48766801, 1856), (43, 88.31569846, 2077), (68, 221.08381, 7649)]"
45,Junction,3,0.0,-123.211806,49.2726437,0,0,0,0,0,"[(46, 35.11239794, 1535), (44, 51.48766801, 1856), (28, 158.3417743, 7706)]"
46,Junction,3,0.0,-123.2117945,49.27295946,0,0,0,0,0,"[(47, 86.49096101, 1534), (45, 35.11239794, 1535), (69, 221.023822, 7601)]"
47,Junction,4,0.4475232137638106,-123.2117676,49.27373726,0,1,0,0,0,"[(46, 86.49096101, 1534), (48, 65.81465982, 1647), (70, 221.1780397, 7576), (28, 101.2765861, 7679)]"
48,Junction,3,0.0,-123.2117464,49.27432911,0,0,0,0,0,"[(49, 65.71204356, 1449), (47, 65.81465982, 1647), (25, 223.2788268, 7728)]"
49,Junction,4,0.5811664141181095,-123.211725,49.27492003,2,1,0,0,0,"[(48, 65.71204356, 1449), (71, 230.7361226, 7615), (26, 242.6901574, 7714)]"
50,Dead end,1,0.0,-123.2117015,49.2755743,0,0,0,0,0,
51,Junction,3,0.0,-123.2108355,49.27137032,0,0,0,0,0,"[(59, 183.1648562, 7575), (67, 147.2222756, 7650), (43, 73.94421767, 7651)]"
52,Junction,3,0.0,-123.2092816,49.25828874,1,0,0,0,0,"[(53, 110.6347978, 5441), (77, 221.2618822, 7532), (29, 221.505463, 7648)]"
53,Junction,4,0.0,-123.2092466,49.25928365,0,0,0,0,0,"[(54, 100.584538, 5252), (52, 110.6347978, 5441), (78, 221.266135, 7531), (30, 221.4067963, 7647)]"
54,Junction,4,0.355160814705073,-123.2092148,49.26018819,0,1,0,0,0,"[(55, 100.5388332, 4832), (53, 100.584538, 5252), (79, 221.3345173, 7530), (31, 221.2054186, 7646)]"
55,Junction,4,2.313809674569013,-123.2091822,49.2610923,0,4,0,0,0,"[(56, 100.4665312, 4624), (54, 100.5388332, 4832), (80, 221.1885815, 7529), (32, 221.1506481, 7645)]"
56,Junction,4,0.0,-123.2091499,49.26199577,0,0,0,0,0,"[(57, 100.39989, 4409), (55, 100.4665312, 4624), (81, 221.1522545, 7528), (33, 221.1853722, 7644)]"
57,Junction,4,0.337754400898902,-123.2091167,49.26289863,0,1,0,0,0,"[(58, 102.8544298, 4209), (56, 100.39989, 4409), (82, 221.1449072, 7527), (34, 221.2799982, 7643)]"
58,Junction,4,1.899747479332856,-123.2090842,49.26382357,2,4,46,0,0,"[(60, 98.4044775, 4010), (57, 102.8544298, 4209), (83, 221.1395183, 7526), (35, 221.2247295, 7642)]"
59,Junction,3,0.0,-123.2090894,49.27018517,0,0,0,0,0,"[(66, 66.49221356, 7574), (51, 183.1648562, 7575), (42, 204.023496, 7652)]"
60,Junction,4,0.6702242369160328,-123.2090532,49.26470851,0,2,0,0,0,"[(61, 96.33639285, 3814), (58, 98.4044775, 4010), (84, 221.1639516, 7542), (36, 221.1148951, 7658)]"
61,Junction,4,0.0,-123.2090225,49.26557484,0,0,0,0,0,"[(62, 94.93233487, 3611), (60, 96.33639285, 3814), (85, 221.1575702, 7541), (37, 221.0531694, 7657)]"
62,Junction,4,0.0,-123.208991,49.26642852,0,0,0,0,0,"[(63, 94.70425041, 3398), (61, 94.93233487, 3611), (86, 221.1087245, 7540), (38, 221.0676791, 7656)]"
63,Junction,4,0.0,-123.2089606,49.26728017,0,0,0,0,0,"[(64, 94.74955213, 3146), (62, 94.70425041, 3398), (87, 221.1175241, 7539), (39, 220.986079, 7655)]"
64,Junction,4,0.2574846067639487,-123.2089291,49.26813221,0,1,0,0,0,"[(65, 97.17031005, 2938), (63, 94.74955213, 3146), (88, 221.1608011, 7538), (40, 221.0393399, 7654)]"
65,Junction,4,0.0,-123.2088978,49.26900603,1,0,0,0,0,"[(66, 66.45058404, 2476), (64, 97.17031005, 2938), (75, 88.1252746, 7537), (41, 221.028275, 7653)]"
66,Junction,3,0.0,-123.208876,49.26960359,0,0,0,0,0,"[(67, 192.9083153, 2274), (65, 66.45058404, 2476), (59, 66.49221356, 7574)]"
67,Junction,4,0.0,-123.2088122,49.27133834,0,1,0,0,0,"[(68, 87.1281369, 2069), (66, 192.9083153, 2274), (92, 221.1287655, 7534), (51, 147.2222756, 7650)]"
68,Junction,4,0.0,-123.2087851,49.27212187,0,0,0,0,0,"[(69, 87.31776782, 1842), (67, 87.1281369, 2069), (93, 221.2055051, 7533), (44, 221.08381, 7649)]"
