COUNT;Geo Local Area;Geom;geo_point_2d
3;Grandview-Woodland;"{""coordinates"": [-123.075965054846, 49.2773695727451], ""type"": ""Point""}";49.2773695727451, -123.075965054846
8;Downtown;"{""coordinates"": [-123.103327929603, 49.2807021073879], ""type"": ""Point""}";49.2807021073879, -123.103327929603
1;Kensington-Cedar Cottage;"{""coordinates"": [-123.067154340358, 49.2507946245653], ""type"": ""Point""}";49.2507946245653, -123.067154340358
4;Downtown;"{""coordinates"": [-123.10385713236, 49.2807101693791], ""type"": ""Point""}";49.2807101693791, -123.10385713236
3;Strathcona;"{""coordinates"": [-123.097581150417, 49.2787810103517], ""type"": ""Point""}";49.2787810103517, -123.097581150417
2;Downtown;"{""coordinates"": [-123.107594793241, 49.2843836088471], ""type"": ""Point""}";49.2843836088471, -123.107594793241
1;Grandview-Woodland;"{""coordinates"": [-123.068047584415, 49.2736497890095], ""type"": ""Point""}";49.2736497890095, -123.068047584415
1;Fairview;"{""coordinates"": [-123.120861554103, 49.2625991541482], ""type"": ""Point""}";49.2625991541482, -123.120861554103
1;Kitsilano;"{""coordinates"": [-123.148563524756, 49.2743228089349], ""type"": ""Point""}";49.2743228089349, -123.148563524756
2;Downtown;"{""coordinates"": [-123.122552391411, 49.2825746435834], ""type"": ""Point""}";49.2825746435834, -123.122552391411
15;Downtown;"{""coordinates"": [-123.12298548901, 49.2796732470916], ""type"": ""Point""}";49.2796732470916, -123.12298548901
8;Downtown;"{""coordinates"": [-123.122838629217, 49.2797705602633], ""type"": ""Point""}";49.2797705602633, -123.122838629217
3;Downtown;"{""coordinates"": [-123.101892998304, 49.2839293847425], ""type"": ""Point""}";49.2839293847425, -123.101892998304
4;West End;"{""coordinates"": [-123.133793648992, 49.2900416509274], ""type"": ""Point""}";49.2900416509274, -123.133793648992
1;Fairview;"{""coordinates"": [-123.143654239208, 49.2677221080131], ""type"": ""Point""}";49.2677221080131, -123.143654239208
1;Fairview;"{""coordinates"": [-123.143759400485, 49.2677242260191], ""type"": ""Point""}";49.2677242260191, -123.143759400485
1;Renfrew-Collingwood;"{""coordinates"": [-123.044713753904, 49.2430616391803], ""type"": ""Point""}";49.2430616391803, -123.044713753904
1;Renfrew-Collingwood;"{""coordinates"": [-123.045507805512, 49.2429988122311], ""type"": ""Point""}";49.2429988122311, -123.045507805512
8;Downtown;"{""coordinates"": [-123.121392540916, 49.280723787617], ""type"": ""Point""}";49.280723787617, -123.121392540916
8;Mount Pleasant;"{""coordinates"": [-123.100772605815, 49.258766259071], ""type"": ""Point""}";49.258766259071, -123.100772605815
1;Grandview-Woodland;"{""coordinates"": [-123.067051004061, 49.2832417716206], ""type"": ""Point""}";49.2832417716206, -123.067051004061
1;Riley Park;"{""coordinates"": [-123.114968069702, 49.2497507234004], ""type"": ""Point""}";49.2497507234004, -123.114968069702
6;Kensington-Cedar Cottage;"{""coordinates"": [-123.077202294163, 49.2511256950922], ""type"": ""Point""}";49.2511256950922, -123.077202294163
1;Sunset;"{""coordinates"": [-123.091449680417, 49.2127246453026], ""type"": ""Point""}";49.2127246453026, -123.091449680417
1;Mount Pleasant;"{""coordinates"": [-123.094421664057, 49.2631994078287], ""type"": ""Point""}";49.2631994078287, -123.094421664057
1;Kitsilano;"{""coordinates"": [-123.183122037511, 49.2640327911379], ""type"": ""Point""}";49.2640327911379, -123.183122037511
1;West End;"{""coordinates"": [-123.132959081198, 49.2832598772883], ""type"": ""Point""}";49.2832598772883, -123.132959081198
5;West Point Grey;"{""coordinates"": [-123.203552399152, 49.2639967874464], ""type"": ""Point""}";49.2639967874464, -123.203552399152
6;Mount Pleasant;"{""coordinates"": [-123.101565335667, 49.2579912389198], ""type"": ""Point""}";49.2579912389198, -123.101565335667
2;Grandview-Woodland;"{""coordinates"": [-123.075022284244, 49.2773614633726], ""type"": ""Point""}";49.2773614633726, -123.075022284244
1;West End;"{""coordinates"": [-123.13802424966, 49.2859181649485], ""type"": ""Point""}";49.2859181649485, -123.13802424966
1;West End;"{""coordinates"": [-123.138376601051, 49.2859919627137], ""type"": ""Point""}";49.2859919627137, -123.138376601051
1;West End;"{""coordinates"": [-123.138684431046, 49.2862236691247], ""type"": ""Point""}";49.2862236691247, -123.138684431046
17;Downtown;"{""coordinates"": [-123.104648447375, 49.281917498877], ""type"": ""Point""}";49.281917498877, -123.104648447375
10;Grandview-Woodland;"{""coordinates"": [-123.069295543746, 49.2672386583197], ""type"": ""Point""}";49.2672386583197, -123.069295543746
1;Kensington-Cedar Cottage;"{""coordinates"": [-123.063011375781, 49.2588539214259], ""type"": ""Point""}";49.2588539214259, -123.063011375781
8;Downtown;"{""coordinates"": [-123.119689778013, 49.2810595909082], ""type"": ""Point""}";49.2810595909082, -123.119689778013
10;Grandview-Woodland;"{""coordinates"": [-123.060225095468, 49.2814355486746], ""type"": ""Point""}";49.2814355486746, -123.060225095468
1;Mount Pleasant;"{""coordinates"": [-123.104206089989, 49.2605619409322], ""type"": ""Point""}";49.2605619409322, -123.104206089989
4;Strathcona;"{""coordinates"": [-123.097812471046, 49.278271687454], ""type"": ""Point""}";49.278271687454, -123.097812471046
1;Fairview;"{""coordinates"": [-123.138901769507, 49.2694721871821], ""type"": ""Point""}";49.2694721871821, -123.138901769507
4;Kitsilano;"{""coordinates"": [-123.171780847351, 49.268146239234], ""type"": ""Point""}";49.268146239234, -123.171780847351
