COUNT;Geo Local Area;Geom;geo_point_2d
1;Strathcona;"{""coordinates"": [-123.098185413728, 49.2816007571687], ""type"": ""Point""}";49.2816007571687, -123.098185413728
1;Strathcona;"{""coordinates"": [-123.080612598812, 49.2775842512253], ""type"": ""Point""}";49.2775842512253, -123.080612598812
1;Strathcona;"{""coordinates"": [-123.095960565598, 49.2849907577412], ""type"": ""Point""}";49.2849907577412, -123.095960565598
1;Kensington-Cedar Cottage;"{""coordinates"": [-123.079243229051, 49.2492813623706], ""type"": ""Point""}";49.2492813623706, -123.079243229051
2;Strathcona;"{""coordinates"": [-123.08049327918, 49.2793859613654], ""type"": ""Point""}";49.2793859613654, -123.08049327918
1;Strathcona;"{""coordinates"": [-123.092962098063, 49.2786969808316], ""type"": ""Point""}";49.2786969808316, -123.092962098063
1;Mount Pleasant;"{""coordinates"": [-123.10409603704, 49.2627217088536], ""type"": ""Point""}";49.2627217088536, -123.10409603704
1;Kitsilano;"{""coordinates"": [-123.183481731224, 49.2600495989613], ""type"": ""Point""}";49.2600495989613, -123.183481731224
1;Kensington-Cedar Cottage;"{""coordinates"": [-123.069169642548, 49.2607155017034], ""type"": ""Point""}";49.2607155017034, -123.069169642548
1;Grandview-Woodland;"{""coordinates"": [-123.058186574743, 49.2805163955275], ""type"": ""Point""}";49.2805163955275, -123.058186574743
1;Grandview-Woodland;"{""coordinates"": [-123.071534028098, 49.2787483398934], ""type"": ""Point""}";49.2787483398934, -123.071534028098
1;Renfrew-Collingwood;"{""coordinates"": [-123.03530483722, 49.2401724517579], ""type"": ""Point""}";49.2401724517579, -123.03530483722
1;Strathcona;"{""coordinates"": [-123.090337480962, 49.2818456122662], ""type"": ""Point""}";49.2818456122662, -123.090337480962
1;Strathcona;"{""coordinates"": [-123.090643010155, 49.2818516696262], ""type"": ""Point""}";49.2818516696262, -123.090643010155
1;Strathcona;"{""coordinates"": [-123.092233544645, 49.2808846617535], ""type"": ""Point""}";49.2808846617535, -123.092233544645
2;West End;"{""coordinates"": [-123.130248268103, 49.2884759998172], ""type"": ""Point""}";49.2884759998172, -123.130248268103
2;Riley Park;"{""coordinates"": [-123.101376629633, 49.2524820579717], ""type"": ""Point""}";49.2524820579717, -123.101376629633
3;Downtown;"{""coordinates"": [-123.12502613072, 49.2744579151869], ""type"": ""Point""}";49.2744579151869, -123.12502613072
1;Grandview-Woodland;"{""coordinates"": [-123.067094738695, 49.2750796995562], ""type"": ""Point""}";49.2750796995562, -123.067094738695
3;Mount Pleasant;"{""coordinates"": [-123.090720606283, 49.2574680343775], ""type"": ""Point""}";49.2574680343775, -123.090720606283
1;Fairview;"{""coordinates"": [-123.138901960621, 49.2659657945728], ""type"": ""Point""}";49.2659657945728, -123.138901960621
1;Mount Pleasant;"{""coordinates"": [-123.105733398562, 49.2689458286891], ""type"": ""Point""}";49.2689458286891, -123.105733398562
3;Sunset;"{""coordinates"": [-123.101497544018, 49.2189417430593], ""type"": ""Point""}";49.2189417430593, -123.101497544018
1;Downtown;"{""coordinates"": [-123.116020334457, 49.2835102555755], ""type"": ""Point""}";49.2835102555755, -123.116020334457
1;Downtown;"{""coordinates"": [-123.115872058711, 49.2836066707207], ""type"": ""Point""}";49.2836066707207, -123.115872058711
4;Strathcona;"{""coordinates"": [-123.098736154129, 49.2684173903598], ""type"": ""Point""}";49.2684173903598, -123.098736154129
1;Kensington-Cedar Cottage;"{""coordinates"": [-123.070947370546, 49.2598284045721], ""type"": ""Point""}";49.2598284045721, -123.070947370546
2;Downtown;"{""coordinates"": [-123.126788400441, 49.2763678952394], ""type"": ""Point""}";49.2763678952394, -123.126788400441
3;Mount Pleasant;"{""coordinates"": [-123.107109523051, 49.2627617087726], ""type"": ""Point""}";49.2627617087726, -123.107109523051
6;Downtown;"{""coordinates"": [-123.126814335814, 49.2750779748102], ""type"": ""Point""}";49.2750779748102, -123.126814335814
1;Fairview;"{""coordinates"": [-123.130467706718, 49.2646053417152], ""type"": ""Point""}";49.2646053417152, -123.130467706718
7;Hastings-Sunrise;"{""coordinates"": [-123.05616144946, 49.2627618244872], ""type"": ""Point""}";49.2627618244872, -123.05616144946
2;Mount Pleasant;"{""coordinates"": [-123.114680995194, 49.2585527336638], ""type"": ""Point""}";49.2585527336638, -123.114680995194
2;Arbutus Ridge;"{""coordinates"": [-123.158090211808, 49.2348928490796], ""type"": ""Point""}";49.2348928490796, -123.158090211808
1;Renfrew-Collingwood;"{""coordinates"": [-123.03420826011, 49.2353774258872], ""type"": ""Point""}";49.2353774258872, -123.03420826011
5;Grandview-Woodland;"{""coordinates"": [-123.065071413328, 49.2845433894505], ""type"": ""Point""}";49.2845433894505, -123.065071413328
3;Hastings-Sunrise;"{""coordinates"": [-123.043640120751, 49.2772063808793], ""type"": ""Point""}";49.2772063808793, -123.043640120751
2;Renfrew-Collingwood;"{""coordinates"": [-123.053991453609, 49.2403288442696], ""type"": ""Point""}";49.2403288442696, -123.053991453609
4;Kensington-Cedar Cottage;"{""coordinates"": [-123.069500503388, 49.2570298748086], ""type"": ""Point""}";49.2570298748086, -123.069500503388
5;Grandview-Woodland;"{""coordinates"": [-123.070009896984, 49.2690503282325], ""type"": ""Point""}";49.2690503282325, -123.070009896984
6;Downtown;"{""coordinates"": [-123.100634417686, 49.2810485771504], ""type"": ""Point""}";49.2810485771504, -123.100634417686
8;Kensington-Cedar Cottage;"{""coordinates"": [-123.090170260915, 49.233468075202], ""type"": ""Point""}";49.233468075202, -123.090170260915
4;Sunset;"{""coordinates"": [-123.090195102254, 49.2316456353531], ""type"": ""Point""}";49.2316456353531, -123.090195102254
1;Downtown;"{""coordinates"": [-123.115849918333, 49.2817977539229], ""type"": ""Point""}";49.2817977539229, -123.115849918333
1;Downtown;"{""coordinates"": [-123.115702352783, 49.2818959492135], ""type"": ""Point""}";49.2818959492135, -123.115702352783
1;Downtown;"{""coordinates"": [-123.115482004436, 49.2820450488239], ""type"": ""Point""}";49.2820450488239, -123.115482004436
1;Downtown;"{""coordinates"": [-123.116032006832, 49.2822144887097], ""type"": ""Point""}";49.2822144887097, -123.116032006832
5;Strathcona;"{""coordinates"": [-123.096259517352, 49.2828648955578], ""type"": ""Point""}";49.2828648955578, -123.096259517352
4;Hastings-Sunrise;"{""coordinates"": [-123.055642549174, 49.2814180658164], ""type"": ""Point""}";49.2814180658164, -123.055642549174
1;Mount Pleasant;"{""coordinates"": [-123.108507527237, 49.2649340687921], ""type"": ""Point""}";49.2649340687921, -123.108507527237
7;Downtown;"{""coordinates"": [-123.113921723141, 49.2836918603251], ""type"": ""Point""}";49.2836918603251, -123.113921723141
1;Renfrew-Collingwood;"{""coordinates"": [-123.042153884108, 49.2476527608521], ""type"": ""Point""}";49.2476527608521, -123.042153884108
1;Kerrisdale;"{""coordinates"": [-123.149397140833, 49.2192066367229], ""type"": ""Point""}";49.2192066367229, -123.149397140833
1;Victoria-Fraserview;"{""coordinates"": [-123.055363179571, 49.2264748959102], ""type"": ""Point""}";49.2264748959102, -123.055363179571
6;Kensington-Cedar Cottage;"{""coordinates"": [-123.06310612781, 49.2437874276564], ""type"": ""Point""}";49.2437874276564, -123.06310612781
4;Marpole;"{""coordinates"": [-123.140081361725, 49.2095655324896], ""type"": ""Point""}";49.2095655324896, -123.140081361725
7;Downtown;"{""coordinates"": [-123.114231226835, 49.2834241462105], ""type"": ""Point""}";49.2834241462105, -123.114231226835
3;Kitsilano;"{""coordinates"": [-123.169860942075, 49.2638207465312], ""type"": ""Point""}";49.2638207465312, -123.169860942075
5;Downtown;"{""coordinates"": [-123.113768176963, 49.2835912746369], ""type"": ""Point""}";49.2835912746369, -123.113768176963
4;Mount Pleasant;"{""coordinates"": [-123.100220496328, 49.2679213494947], ""type"": ""Point""}";49.2679213494947, -123.100220496328
16;Grandview-Woodland;"{""coordinates"": [-123.076561934867, 49.2809789267556], ""type"": ""Point""}";49.2809789267556, -123.076561934867
1;Strathcona;"{""coordinates"": [-123.080017442337, 49.2770588874282], ""type"": ""Point""}";49.2770588874282, -123.080017442337
1;Strathcona;"{""coordinates"": [-123.080116156893, 49.2770597185449], ""type"": ""Point""}";49.2770597185449, -123.080116156893
1;Arbutus Ridge;"{""coordinates"": [-123.159779555087, 49.234912725189], ""type"": ""Point""}";49.234912725189, -123.159779555087
9;Kensington-Cedar Cottage;"{""coordinates"": [-123.071488318679, 49.2478010121498], ""type"": ""Point""}";49.2478010121498, -123.071488318679
2;Marpole;"{""coordinates"": [-123.132835594923, 49.2083590533443], ""type"": ""Point""}";49.2083590533443, -123.132835594923
1;Renfrew-Collingwood;"{""coordinates"": [-123.033411284372, 49.2361791536765], ""type"": ""Point""}";49.2361791536765, -123.033411284372
1;West End;"{""coordinates"": [-123.128973496164, 49.2890119584843], ""type"": ""Point""}";49.2890119584843, -123.128973496164
2;Hastings-Sunrise;"{""coordinates"": [-123.055439810867, 49.2808775621295], ""type"": ""Point""}";49.2808775621295, -123.055439810867
2;Strathcona;"{""coordinates"": [-123.089412074168, 49.2794207821042], ""type"": ""Point""}";49.2794207821042, -123.089412074168
2;Strathcona;"{""coordinates"": [-123.084637985953, 49.2672370826335], ""type"": ""Point""}";49.2672370826335, -123.084637985953
2;Strathcona;"{""coordinates"": [-123.099014019593, 49.269731701693], ""type"": ""Point""}";49.269731701693, -123.099014019593
1;Riley Park;"{""coordinates"": [-123.094510792294, 49.2457564254086], ""type"": ""Point""}";49.2457564254086, -123.094510792294
1;Renfrew-Collingwood;"{""coordinates"": [-123.024223700032, 49.2335674352179], ""type"": ""Point""}";49.2335674352179, -123.024223700032
1;Fairview;"{""coordinates"": [-123.128154027389, 49.2631191704605], ""type"": ""Point""}";49.2631191704605, -123.128154027389
1;Downtown;"{""coordinates"": [-123.117203635753, 49.2847652285341], ""type"": ""Point""}";49.2847652285341, -123.117203635753
7;Mount Pleasant;"{""coordinates"": [-123.101783312863, 49.2652614336803], ""type"": ""Point""}";49.2652614336803, -123.101783312863
15;Mount Pleasant;"{""coordinates"": [-123.092666437812, 49.2627969711161], ""type"": ""Point""}";49.2627969711161, -123.092666437812
1;Sunset;"{""coordinates"": [-123.104616531218, 49.2121746799283], ""type"": ""Point""}";49.2121746799283, -123.104616531218
1;Grandview-Woodland;"{""coordinates"": [-123.05927414287, 49.2808351715662], ""type"": ""Point""}";49.2808351715662, -123.05927414287
1;Marpole;"{""coordinates"": [-123.133750894613, 49.2063974634989], ""type"": ""Point""}";49.2063974634989, -123.133750894613
3;Grandview-Woodland;"{""coordinates"": [-123.069259964896, 49.268815996574], ""type"": ""Point""}";49.268815996574, -123.069259964896
35;Mount Pleasant;"{""coordinates"": [-123.10067674604, 49.2624347783628], ""type"": ""Point""}";49.2624347783628, -123.10067674604
1;Kitsilano;"{""coordinates"": [-123.160402581084, 49.2729169532685], ""type"": ""Point""}";49.2729169532685, -123.160402581084
1;Sunset;"{""coordinates"": [-123.091453811904, 49.2123293981897], ""type"": ""Point""}";49.2123293981897, -123.091453811904
1;Downtown;"{""coordinates"": [-123.100127206711, 49.2810519861787], ""type"": ""Point""}";49.2810519861787, -123.100127206711
1;Grandview-Woodland;"{""coordinates"": [-123.069137269721, 49.2819196277458], ""type"": ""Point""}";49.2819196277458, -123.069137269721
1;Renfrew-Collingwood;"{""coordinates"": [-123.030071704311, 49.2524856330883], ""type"": ""Point""}";49.2524856330883, -123.030071704311
1;Kitsilano;"{""coordinates"": [-123.157387892591, 49.2630575722932], ""type"": ""Point""}";49.2630575722932, -123.157387892591
1;Downtown;"{""coordinates"": [-123.115421012816, 49.2838958852353], ""type"": ""Point""}";49.2838958852353, -123.115421012816
1;Renfrew-Collingwood;"{""coordinates"": [-123.027776138017, 49.2509138968618], ""type"": ""Point""}";49.2509138968618, -123.027776138017
1;Kitsilano;"{""coordinates"": [-123.148153590086, 49.2728647738063], ""type"": ""Point""}";49.2728647738063, -123.148153590086
3;Victoria-Fraserview;"{""coordinates"": [-123.066533063374, 49.2323235843478], ""type"": ""Point""}";49.2323235843478, -123.066533063374
1;Fairview;"{""coordinates"": [-123.135096322555, 49.2668532221019], ""type"": ""Point""}";49.2668532221019, -123.135096322555
1;Kitsilano;"{""coordinates"": [-123.149819668624, 49.2727969246517], ""type"": ""Point""}";49.2727969246517, -123.149819668624
2;Kensington-Cedar Cottage;"{""coordinates"": [-123.067451527832, 49.2607052824949], ""type"": ""Point""}";49.2607052824949, -123.067451527832
2;Mount Pleasant;"{""coordinates"": [-123.10339596565, 49.2634906180622], ""type"": ""Point""}";49.2634906180622, -123.10339596565
2;Kensington-Cedar Cottage;"{""coordinates"": [-123.063321833292, 49.2446265650423], ""type"": ""Point""}";49.2446265650423, -123.063321833292
1;Strathcona;"{""coordinates"": [-123.078020276521, 49.2816280147567], ""type"": ""Point""}";49.2816280147567, -123.078020276521
1;Grandview-Woodland;"{""coordinates"": [-123.069949327317, 49.2836692851809], ""type"": ""Point""}";49.2836692851809, -123.069949327317
1;Grandview-Woodland;"{""coordinates"": [-123.069762340259, 49.2836900871194], ""type"": ""Point""}";49.2836900871194, -123.069762340259
7;Downtown;"{""coordinates"": [-123.100110427202, 49.2815860444359], ""type"": ""Point""}";49.2815860444359, -123.100110427202
1;Downtown;"{""coordinates"": [-123.120724322256, 49.2785838053846], ""type"": ""Point""}";49.2785838053846, -123.120724322256
5;Strathcona;"{""coordinates"": [-123.09841302549, 49.2788163935153], ""type"": ""Point""}";49.2788163935153, -123.09841302549
4;Downtown;"{""coordinates"": [-123.100056858822, 49.2826326976418], ""type"": ""Point""}";49.2826326976418, -123.100056858822
2;Oakridge;"{""coordinates"": [-123.139326013087, 49.2275437612071], ""type"": ""Point""}";49.2275437612071, -123.139326013087
1;Kitsilano;"{""coordinates"": [-123.157691607569, 49.2697224786779], ""type"": ""Point""}";49.2697224786779, -123.157691607569
1;Grandview-Woodland;"{""coordinates"": [-123.069952493315, 49.274611586374], ""type"": ""Point""}";49.274611586374, -123.069952493315
1;Grandview-Woodland;"{""coordinates"": [-123.069942589789, 49.2747051423181], ""type"": ""Point""}";49.2747051423181, -123.069942589789
1;Kensington-Cedar Cottage;"{""coordinates"": [-123.077658189864, 49.250594761236], ""type"": ""Point""}";49.250594761236, -123.077658189864
10;Strathcona;"{""coordinates"": [-123.099271169043, 49.2799512650774], ""type"": ""Point""}";49.2799512650774, -123.099271169043
6;West Point Grey;"{""coordinates"": [-123.208224994273, 49.2635301819934], ""type"": ""Point""}";49.2635301819934, -123.208224994273
1;Renfrew-Collingwood;"{""coordinates"": [-123.044297777054, 49.2380654652413], ""type"": ""Point""}";49.2380654652413, -123.044297777054
1;Grandview-Woodland;"{""coordinates"": [-123.067270208273, 49.2745687608603], ""type"": ""Point""}";49.2745687608603, -123.067270208273
5;Strathcona;"{""coordinates"": [-123.086811102584, 49.2803911325194], ""type"": ""Point""}";49.2803911325194, -123.086811102584
3;Kitsilano;"{""coordinates"": [-123.185415250337, 49.2680306785874], ""type"": ""Point""}";49.2680306785874, -123.185415250337
3;Kitsilano;"{""coordinates"": [-123.182294427272, 49.2688240650445], ""type"": ""Point""}";49.2688240650445, -123.182294427272
1;Hastings-Sunrise;"{""coordinates"": [-123.054211821484, 49.2808763457391], ""type"": ""Point""}";49.2808763457391, -123.054211821484
1;Victoria-Fraserview;"{""coordinates"": [-123.062518863948, 49.2326322948047], ""type"": ""Point""}";49.2326322948047, -123.062518863948
1;Riley Park;"{""coordinates"": [-123.090595324716, 49.2496504849863], ""type"": ""Point""}";49.2496504849863, -123.090595324716
1;Fairview;"{""coordinates"": [-123.139634617934, 49.2610530782536], ""type"": ""Point""}";49.2610530782536, -123.139634617934
1;Grandview-Woodland;"{""coordinates"": [-123.071905101629, 49.2824599068743], ""type"": ""Point""}";49.2824599068743, -123.071905101629
2;Fairview;"{""coordinates"": [-123.141779018404, 49.2685727076513], ""type"": ""Point""}";49.2685727076513, -123.141779018404
1;Mount Pleasant;"{""coordinates"": [-123.102323694989, 49.2679706527736], ""type"": ""Point""}";49.2679706527736, -123.102323694989
1;Sunset;"{""coordinates"": [-123.083358392084, 49.2166712319209], ""type"": ""Point""}";49.2166712319209, -123.083358392084
1;Kensington-Cedar Cottage;"{""coordinates"": [-123.07629318356, 49.2549448064821], ""type"": ""Point""}";49.2549448064821, -123.07629318356
1;Hastings-Sunrise;"{""coordinates"": [-123.047278980175, 49.2805025553857], ""type"": ""Point""}";49.2805025553857, -123.047278980175
1;Hastings-Sunrise;"{""coordinates"": [-123.050869985854, 49.281412637516], ""type"": ""Point""}";49.281412637516, -123.050869985854
4;Downtown;"{""coordinates"": [-123.12220844297, 49.2803454718365], ""type"": ""Point""}";49.2803454718365, -123.12220844297
7;Mount Pleasant;"{""coordinates"": [-123.100376717527, 49.2670269111325], ""type"": ""Point""}";49.2670269111325, -123.100376717527
2;Mount Pleasant;"{""coordinates"": [-123.101319573054, 49.2643578412675], ""type"": ""Point""}";49.2643578412675, -123.101319573054
1;Strathcona;"{""coordinates"": [-123.087203948391, 49.2700432142699], ""type"": ""Point""}";49.2700432142699, -123.087203948391
1;Strathcona;"{""coordinates"": [-123.092010496037, 49.2786793113663], ""type"": ""Point""}";49.2786793113663, -123.092010496037
1;Hastings-Sunrise;"{""coordinates"": [-123.026939967536, 49.2817957393312], ""type"": ""Point""}";49.2817957393312, -123.026939967536
11;Mount Pleasant;"{""coordinates"": [-123.087685986238, 49.2627554774139], ""type"": ""Point""}";49.2627554774139, -123.087685986238
1;Kensington-Cedar Cottage;"{""coordinates"": [-123.071116103566, 49.2620114020637], ""type"": ""Point""}";49.2620114020637, -123.071116103566
1;Hastings-Sunrise;"{""coordinates"": [-123.042171401841, 49.2622502205848], ""type"": ""Point""}";49.2622502205848, -123.042171401841
2;Hastings-Sunrise;"{""coordinates"": [-123.034946930973, 49.2622272291456], ""type"": ""Point""}";49.2622272291456, -123.034946930973
1;Shaughnessy;"{""coordinates"": [-123.134236223288, 49.235350313352], ""type"": ""Point""}";49.235350313352, -123.134236223288
4;Mount Pleasant;"{""coordinates"": [-123.101318322888, 49.2644185599945], ""type"": ""Point""}";49.2644185599945, -123.101318322888
2;Fairview;"{""coordinates"": [-123.138900217358, 49.2658834006001], ""type"": ""Point""}";49.2658834006001, -123.138900217358
3;Grandview-Woodland;"{""coordinates"": [-123.068920706201, 49.2680322590113], ""type"": ""Point""}";49.2680322590113, -123.068920706201
1;Kitsilano;"{""coordinates"": [-123.151963938998, 49.2722641096056], ""type"": ""Point""}";49.2722641096056, -123.151963938998
6;Kitsilano;"{""coordinates"": [-123.178264470265, 49.2639731036825], ""type"": ""Point""}";49.2639731036825, -123.178264470265
1;Mount Pleasant;"{""coordinates"": [-123.098009861538, 49.2607987650305], ""type"": ""Point""}";49.2607987650305, -123.098009861538
1;Grandview-Woodland;"{""coordinates"": [-123.067160990965, 49.2638807147239], ""type"": ""Point""}";49.2638807147239, -123.067160990965
1;Grandview-Woodland;"{""coordinates"": [-123.067328277609, 49.2638907819441], ""type"": ""Point""}";49.2638907819441, -123.067328277609
1;West End;"{""coordinates"": [-123.135919538103, 49.2867798515878], ""type"": ""Point""}";49.2867798515878, -123.135919538103
2;Grandview-Woodland;"{""coordinates"": [-123.068037523175, 49.2809075675318], ""type"": ""Point""}";49.2809075675318, -123.068037523175
1;Kensington-Cedar Cottage;"{""coordinates"": [-123.069422243169, 49.2620011972245], ""type"": ""Point""}";49.2620011972245, -123.069422243169
4;Grandview-Woodland;"{""coordinates"": [-123.074919670599, 49.2819664143107], ""type"": ""Point""}";49.2819664143107, -123.074919670599
4;Kerrisdale;"{""coordinates"": [-123.156086214717, 49.2310483748625], ""type"": ""Point""}";49.2310483748625, -123.156086214717
2;Kerrisdale;"{""coordinates"": [-123.155522463945, 49.2269873243391], ""type"": ""Point""}";49.2269873243391, -123.155522463945
2;Kitsilano;"{""coordinates"": [-123.147397748237, 49.270047788499], ""type"": ""Point""}";49.270047788499, -123.147397748237
1;Kensington-Cedar Cottage;"{""coordinates"": [-123.070507795377, 49.2579369085942], ""type"": ""Point""}";49.2579369085942, -123.070507795377
1;Mount Pleasant;"{""coordinates"": [-123.110296562487, 49.2628439758989], ""type"": ""Point""}";49.2628439758989, -123.110296562487
1;Grandview-Woodland;"{""coordinates"": [-123.069274197473, 49.2706361387844], ""type"": ""Point""}";49.2706361387844, -123.069274197473
4;Kitsilano;"{""coordinates"": [-123.185164555683, 49.2688650888527], ""type"": ""Point""}";49.2688650888527, -123.185164555683
1;Strathcona;"{""coordinates"": [-123.096171637673, 49.2843478322066], ""type"": ""Point""}";49.2843478322066, -123.096171637673
1;Fairview;"{""coordinates"": [-123.127871943391, 49.2657552041993], ""type"": ""Point""}";49.2657552041993, -123.127871943391
2;Renfrew-Collingwood;"{""coordinates"": [-123.036545016808, 49.2399660211165], ""type"": ""Point""}";49.2399660211165, -123.036545016808
7;Strathcona;"{""coordinates"": [-123.082240705036, 49.2770683545316], ""type"": ""Point""}";49.2770683545316, -123.082240705036
1;Shaughnessy;"{""coordinates"": [-123.145350287428, 49.2383900950084], ""type"": ""Point""}";49.2383900950084, -123.145350287428
1;Kitsilano;"{""coordinates"": [-123.175283728518, 49.2715575802155], ""type"": ""Point""}";49.2715575802155, -123.175283728518
1;Sunset;"{""coordinates"": [-123.101157153233, 49.2178266363528], ""type"": ""Point""}";49.2178266363528, -123.101157153233
1;Fairview;"{""coordinates"": [-123.138131011764, 49.2641622896349], ""type"": ""Point""}";49.2641622896349, -123.138131011764
8;Renfrew-Collingwood;"{""coordinates"": [-123.04916461391, 49.2508810575447], ""type"": ""Point""}";49.2508810575447, -123.04916461391
7;Strathcona;"{""coordinates"": [-123.079448327765, 49.2736427283615], ""type"": ""Point""}";49.2736427283615, -123.079448327765
7;Strathcona;"{""coordinates"": [-123.07909386076, 49.2737779083764], ""type"": ""Point""}";49.2737779083764, -123.07909386076
7;Strathcona;"{""coordinates"": [-123.078912394672, 49.2737780324505], ""type"": ""Point""}";49.2737780324505, -123.078912394672
7;Strathcona;"{""coordinates"": [-123.079658420187, 49.2739187360186], ""type"": ""Point""}";49.2739187360186, -123.079658420187
2;Strathcona;"{""coordinates"": [-123.090912406653, 49.2832870970258], ""type"": ""Point""}";49.2832870970258, -123.090912406653
2;Victoria-Fraserview;"{""coordinates"": [-123.062525967492, 49.2322747386386], ""type"": ""Point""}";49.2322747386386, -123.062525967492
1;Kitsilano;"{""coordinates"": [-123.148297350959, 49.2704409059059], ""type"": ""Point""}";49.2704409059059, -123.148297350959
1;Kitsilano;"{""coordinates"": [-123.148822491806, 49.2704487671568], ""type"": ""Point""}";49.2704487671568, -123.148822491806
1;Victoria-Fraserview;"{""coordinates"": [-123.067059782912, 49.2159440061117], ""type"": ""Point""}";49.2159440061117, -123.067059782912
1;Grandview-Woodland;"{""coordinates"": [-123.061427560951, 49.2625558530885], ""type"": ""Point""}";49.2625558530885, -123.061427560951
2;West End;"{""coordinates"": [-123.133243817856, 49.2896590111838], ""type"": ""Point""}";49.2896590111838, -123.133243817856
1;Kensington-Cedar Cottage;"{""coordinates"": [-123.089850906493, 49.2450999653207], ""type"": ""Point""}";49.2450999653207, -123.089850906493
1;Sunset;"{""coordinates"": [-123.090380628567, 49.2256731863954], ""type"": ""Point""}";49.2256731863954, -123.090380628567
2;Grandview-Woodland;"{""coordinates"": [-123.071778838921, 49.2805478086939], ""type"": ""Point""}";49.2805478086939, -123.071778838921
1;Grandview-Woodland;"{""coordinates"": [-123.071972972172, 49.2828386694281], ""type"": ""Point""}";49.2828386694281, -123.071972972172
2;Hastings-Sunrise;"{""coordinates"": [-123.043775604049, 49.2687157972906], ""type"": ""Point""}";49.2687157972906, -123.043775604049
1;West Point Grey;"{""coordinates"": [-123.207657801992, 49.264062370061], ""type"": ""Point""}";49.264062370061, -123.207657801992
4;Downtown;"{""coordinates"": [-123.101619387403, 49.2825804933497], ""type"": ""Point""}";49.2825804933497, -123.101619387403
4;Downtown;"{""coordinates"": [-123.101831832142, 49.2825848039139], ""type"": ""Point""}";49.2825848039139, -123.101831832142
4;Downtown;"{""coordinates"": [-123.10193700768, 49.2825860604554], ""type"": ""Point""}";49.2825860604554, -123.10193700768
4;Downtown;"{""coordinates"": [-123.102043578458, 49.2825904639807], ""type"": ""Point""}";49.2825904639807, -123.102043578458
2;West Point Grey;"{""coordinates"": [-123.209472643722, 49.2640910270475], ""type"": ""Point""}";49.2640910270475, -123.209472643722
11;Strathcona;"{""coordinates"": [-123.080220783224, 49.2770605364779], ""type"": ""Point""}";49.2770605364779, -123.080220783224
1;Downtown;"{""coordinates"": [-123.122128825742, 49.2794342721922], ""type"": ""Point""}";49.2794342721922, -123.122128825742
2;Kitsilano;"{""coordinates"": [-123.146116514792, 49.2682793854919], ""type"": ""Point""}";49.2682793854919, -123.146116514792
6;Strathcona;"{""coordinates"": [-123.091729296397, 49.2804907145126], ""type"": ""Point""}";49.2804907145126, -123.091729296397
1;Kitsilano;"{""coordinates"": [-123.162702262045, 49.2685422336744], ""type"": ""Point""}";49.2685422336744, -123.162702262045
8;Strathcona;"{""coordinates"": [-123.085369770032, 49.281764033959], ""type"": ""Point""}";49.281764033959, -123.085369770032
1;Kitsilano;"{""coordinates"": [-123.185552464892, 49.2654583871755], ""type"": ""Point""}";49.2654583871755, -123.185552464892
2;Mount Pleasant;"{""coordinates"": [-123.110120985289, 49.2677392071941], ""type"": ""Point""}";49.2677392071941, -123.110120985289
2;Riley Park;"{""coordinates"": [-123.100682738392, 49.2484892340447], ""type"": ""Point""}";49.2484892340447, -123.100682738392
1;Riley Park;"{""coordinates"": [-123.101250447467, 49.2534593915955], ""type"": ""Point""}";49.2534593915955, -123.101250447467
3;Riley Park;"{""coordinates"": [-123.100564752954, 49.255939028048], ""type"": ""Point""}";49.255939028048, -123.100564752954
5;Strathcona;"{""coordinates"": [-123.077650417678, 49.2746608836256], ""type"": ""Point""}";49.2746608836256, -123.077650417678
1;Sunset;"{""coordinates"": [-123.083097883213, 49.2208937568454], ""type"": ""Point""}";49.2208937568454, -123.083097883213
8;Strathcona;"{""coordinates"": [-123.100074645524, 49.2691884585425], ""type"": ""Point""}";49.2691884585425, -123.100074645524
3;Grandview-Woodland;"{""coordinates"": [-123.066004654187, 49.2790615956136], ""type"": ""Point""}";49.2790615956136, -123.066004654187
1;Fairview;"{""coordinates"": [-123.137931641947, 49.2591513049879], ""type"": ""Point""}";49.2591513049879, -123.137931641947
1;Grandview-Woodland;"{""coordinates"": [-123.061972324029, 49.279922499454], ""type"": ""Point""}";49.279922499454, -123.061972324029
1;Grandview-Woodland;"{""coordinates"": [-123.06217512503, 49.2799232900276], ""type"": ""Point""}";49.2799232900276, -123.06217512503
2;Mount Pleasant;"{""coordinates"": [-123.096583711432, 49.2589501367598], ""type"": ""Point""}";49.2589501367598, -123.096583711432
1;Downtown;"{""coordinates"": [-123.114605041843, 49.2818772803362], ""type"": ""Point""}";49.2818772803362, -123.114605041843
4;Mount Pleasant;"{""coordinates"": [-123.100219561253, 49.2677990155983], ""type"": ""Point""}";49.2677990155983, -123.100219561253
1;Fairview;"{""coordinates"": [-123.139049788278, 49.2620563987611], ""type"": ""Point""}";49.2620563987611, -123.139049788278
1;Mount Pleasant;"{""coordinates"": [-123.107475551864, 49.2635727275234], ""type"": ""Point""}";49.2635727275234, -123.107475551864
2;Riley Park;"{""coordinates"": [-123.100662469747, 49.2523340183579], ""type"": ""Point""}";49.2523340183579, -123.100662469747
7;Mount Pleasant;"{""coordinates"": [-123.100810923562, 49.2580180037503], ""type"": ""Point""}";49.2580180037503, -123.100810923562
1;West Point Grey;"{""coordinates"": [-123.211582625832, 49.2687768432782], ""type"": ""Point""}";49.2687768432782, -123.211582625832
