ADDRESS;SCHOOL_CATEGORY;SCHOOL_NAME;Geom;Geo Local Area;geo_point_2d
998 W 26th Av;Independent School;Vancouver Talmud Torah Elementary;"{""coordinates"": [-123.12682202118758, 49.2475796718668], ""type"": ""Point""}";South Cambie;49.2475796719, -123.126822021
15 N Renfrew St;Independent School;West Coast Christian School;"{""coordinates"": [-123.04453612333309, 49.284984466234356], ""type"": ""Point""}";Hastings-Sunrise;49.2849844662, -123.044536123
4125 W 8th Av;Independent School;West Point Grey Academy;"{""coordinates"": [-123.20150739365414, 49.26706634514379], ""type"": ""Point""}";West Point Grey;49.2670663451, -123.201507394
1130 Keefer St;StrongStart BC;Admiral Seymour StrongStart Centre;"{""coordinates"": [-123.08031429999998, 49.27859426906773], ""type"": ""Point""}";Strathcona;49.2785942691, -123.0803143
5025 Willow St;Public School;BC Childrens Hosp School Program;"{""coordinates"": [-123.12579095999999, 49.23963096106753], ""type"": ""Point""}";South Cambie;49.2396309611, -123.12579096
2251 Collingwood St;Public School;Bayview Community Elementary;"{""coordinates"": [-123.18233379, 49.26648700606768], ""type"": ""Point""}";Kitsilano;49.2664870061, -123.18233379
1690 Matthews Av;Public School;Canuck Place School Program;"{""coordinates"": [-123.14306239951357, 49.251669525820965], ""type"": ""Point""}";Shaughnessy;49.2516695258, -123.1430624
438 Terminal Av;Independent School;Columbia College;"{""coordinates"": [-123.09507768504591, 49.27155962112064], ""type"": ""Point""}";Strathcona;49.2715596211, -123.095077685
6344 Nanaimo St;Independent School;Corpus Christi School;"{""coordinates"": [-123.05758354036608, 49.226406104158166], ""type"": ""Point""}";Victoria-Fraserview;49.2264061042, -123.05758354
8370 Cartier St;StrongStart BC;David Lloyd George StrongStart Centre;"{""coordinates"": [-123.13634890999998, 49.209962411067416], ""type"": ""Point""}";Marpole;49.2099624111, -123.13634891
2421 Scarboro Av;Public School;David Oppenheimer Elementary;"{""coordinates"": [-123.05829331021336, 49.21331811031946], ""type"": ""Point""}";Victoria-Fraserview;49.2133181103, -123.05829331
2896 W 6th Av;Public School;General Gordon Elementary;"{""coordinates"": [-123.17067418, 49.26597990206767], ""type"": ""Point""}";Kitsilano;49.2659799021, -123.17067418
4105 Gladstone St;Public School;Gladstone Secondary;"{""coordinates"": [-123.06163307000001, 49.24761203506759], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2476120351, -123.06163307
7455 Ontario St;Public School;J.W. Sexsmith Community Elementary;"{""coordinates"": [-123.10879442, 49.21726779206743], ""type"": ""Point""}";Marpole;49.2172677921, -123.10879442
530 E 41st Av;Public School;John Oliver Secondary;"{""coordinates"": [-123.09279776, 49.23195715006752], ""type"": ""Point""}";Sunset;49.2319571501, -123.09279776
2550 W 10th Av;Public School;Kitsilano Secondary;"{""coordinates"": [-123.16358941, 49.262654772067656], ""type"": ""Point""}";Kitsilano;49.2626547721, -123.16358941
1166 W 14th Av;Public School;L'Ecole Bilingue Elementary;"{""coordinates"": [-123.13038640000002, 49.25808403306762], ""type"": ""Point""}";Fairview;49.2580840331, -123.1303864
