ADDRESS;SCHOOL_CATEGORY;SCHOOL_NAME;Geom;Geo Local Area;geo_point_2d
688 W Hastings St;Independent School;Alexander Academy;"{""coordinates"": [-123.11400985419304, 49.28500059925005], ""type"": ""Point""}";Downtown;49.2850005993, -123.114009854
5025 Willow St;Public School;BC Children's Adol. Psych. Unit;"{""coordinates"": [-123.12579095999999, 49.23963096106753], ""type"": ""Point""}";South Cambie;49.2396309611, -123.12579096
1001 Cotton Drive;Public School;Britannia Community Secondary;"{""coordinates"": [-123.07192309841, 49.27523599085204], ""type"": ""Point""}";Grandview-Woodland;49.2752359909, -123.071923098
3340 E 54th Av;Public School;Captain James Cook Elementary;"{""coordinates"": [-123.03582905, 49.219380799067466], ""type"": ""Point""}";Killarney;49.2193807991, -123.03582905
3340 E 54th Av;StrongStart BC;Captain James Cook StrongStart Centre;"{""coordinates"": [-123.03582905, 49.219380799067466], ""type"": ""Point""}";Killarney;49.2193807991, -123.03582905
2684 E 2nd Av;StrongStart BC;Chief Maquinna StrongStart Centre;"{""coordinates"": [-123.05058984, 49.26788631306769], ""type"": ""Point""}";Hastings-Sunrise;49.2678863131, -123.05058984
3575 Kaslo St;Independent School;Children's Hearing and Speech Centre BC;"{""coordinates"": [-123.0483494372457, 49.25235796846878], ""type"": ""Point""}";Renfrew-Collingwood;49.2523579685, -123.048349437
3417 Euclid Av;Public School;Collingwood Neighbourhood School;"{""coordinates"": [-123.032313, 49.23634859906753], ""type"": ""Point""}";Renfrew-Collingwood;49.2363485991, -123.032313
1755 E 55th Av;Public School;David Thompson Secondary;"{""coordinates"": [-123.07063159999998, 49.220439256067465], ""type"": ""Point""}";Victoria-Fraserview;49.2204392561, -123.0706316
555 Lillooet St;Public School;Dr A R Lord Elementary;"{""coordinates"": [-123.03951720287967, 49.27964048422215], ""type"": ""Point""}";Hastings-Sunrise;49.2796404842, -123.039517203
6350 Tisdall St;Public School;Dr Annie B Jamieson Elementary;"{""coordinates"": [-123.12100426, 49.22690693506749], ""type"": ""Point""}";Oakridge;49.2269069351, -123.12100426
3050 Crown St;Public School;Ecole Jules Quesnel Elementary;"{""coordinates"": [-123.19253813000002, 49.25956780506763], ""type"": ""Point""}";West Point Grey;49.2595678051, -123.19253813
150 Drake St;Public School;Elsie Roy Elementary;"{""coordinates"": [-123.122482, 49.27223799906772], ""type"": ""Point""}";Downtown;49.2722379991, -123.122482
4070 Oak St;Public School;Emily Carr Elementary;"{""coordinates"": [-123.12609640999999, 49.2500416520676], ""type"": ""Point""}";South Cambie;49.2500416521, -123.12609641
4196 W 4th Av;Independent School;Family Montessori School;"{""coordinates"": [-123.1982460233882, 49.267667982326586], ""type"": ""Point""}";West Point Grey;49.2676679823, -123.198246023
2294 W 10th Av;Independent School;Fraser Academy;"{""coordinates"": [-123.15727596082289, 49.26266070419338], ""type"": ""Point""}";Kitsilano;49.2626607042, -123.157275961
2330 E 37th Av;Public School;G T Cunningham Elementary;"{""coordinates"": [-123.05745595, 49.23673222606754], ""type"": ""Point""}";Renfrew-Collingwood;49.2367322261, -123.05745595
3633 Tanner St;Public School;Graham Bruce Community Elementary;"{""coordinates"": [-123.02567271, 49.24206908706756], ""type"": ""Point""}";Renfrew-Collingwood;49.2420690871, -123.02567271
1551 Cypress St;Public School;Henry Hudson Elementary;"{""coordinates"": [-123.14935629, 49.2722458780677], ""type"": ""Point""}";Kitsilano;49.2722458781, -123.14935629
451 E 53rd Av;Public School;John Henderson Elementary;"{""coordinates"": [-123.09527169, 49.222569588067465], ""type"": ""Point""}";Sunset;49.2225695881, -123.09527169
4710 Slocan St;Public School;John Norquay Elementary;"{""coordinates"": [-123.0516408, 49.24142469506758], ""type"": ""Point""}";Renfrew-Collingwood;49.2414246951, -123.0516408
5718 Willow St;Independent School;King David High School;"{""coordinates"": [-123.1227909397854, 49.23344818232933], ""type"": ""Point""}";Oakridge;49.2334481823, -123.12279094
1755 Barclay St;Public School;King George Secondary;"{""coordinates"": [-123.13644517, 49.28982415206781], ""type"": ""Point""}";West End;49.2898241521, -123.13644517
4195 Alexandra St;Independent School;Little Flower Academy;"{""coordinates"": [-123.14226149913934, 49.24843134181949], ""type"": ""Point""}";Shaughnessy;49.2484313418, -123.142261499
3663 Penticton St;Public School;Lord Beaconsfield Elementary;"{""coordinates"": [-123.05269627000001, 49.2521383750676], ""type"": ""Point""}";Renfrew-Collingwood;49.2521383751, -123.05269627
3455 W King Edward Av;Public School;Lord Kitchener Elementary;"{""coordinates"": [-123.18024556263893, 49.250581806373596], ""type"": ""Point""}";Dunbar-Southlands;49.2505818064, -123.180245563
1150 Nelson St;Public School;Lord Roberts Annex;"{""coordinates"": [-123.12980600999998, 49.283091710067765], ""type"": ""Point""}";West End;49.2830917101, -123.12980601
4444 Dumfries St;Public School;Lord Selkirk Annex;"{""coordinates"": [-123.07246012, 49.24532077406758], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2453207741, -123.07246012
2678 W Broadway;Independent School;Madrona School;"{""coordinates"": [-123.16601055529476, 49.263528260800655], ""type"": ""Point""}";Kitsilano;49.2635282608, -123.166010555
2300 Guelph St;StrongStart BC;Mount Pleasant StrongStart Centre;"{""coordinates"": [-123.09399954, 49.26396573206767], ""type"": ""Point""}";Mount Pleasant;49.2639657321, -123.09399954
2550 Camosun St;Independent School;Our Lady of Perpetual Help;"{""coordinates"": [-123.19617943097614, 49.264135070670505], ""type"": ""Point""}";West Point Grey;49.2641350707, -123.196179431
1819 Larch St;Independent School;Pacific Rim Montessori Academy;"{""coordinates"": [-123.16244364510744, 49.269785798267485], ""type"": ""Point""}";Kitsilano;49.2697857983, -123.162443645
1580 W Broadway;Public School;Peak House;"{""coordinates"": [-123.14026052001878, 49.26329988232251], ""type"": ""Point""}";Fairview;49.2632998823, -123.14026052
4102 W 16th Av;Public School;Queen Elizabeth Elementary;"{""coordinates"": [-123.20112784000001, 49.257791772067634], ""type"": ""Point""}";Dunbar-Southlands;49.2577917721, -123.20112784
1850 E 3rd Av;Public School;Queen Victoria Annex;"{""coordinates"": [-123.06634874, 49.267187849067696], ""type"": ""Point""}";Grandview-Woodland;49.2671878491, -123.06634874
3315 E 22nd Av;Public School;Renfrew Community Elementary;"{""coordinates"": [-123.03205805, 49.25145777406758], ""type"": ""Point""}";Renfrew-Collingwood;49.2514577741, -123.03205805
4250 Marguerite St;Public School;Shaughnessy Elementary;"{""coordinates"": [-123.14380998000001, 49.24867607506759], ""type"": ""Point""}";Shaughnessy;49.2486760751, -123.14380998
960 E 39th Av;Public School;Sir Alexander Mackenzie Elementary;"{""coordinates"": [-123.08671432, 49.23453643506752], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2345364351, -123.08671432
419 E 24th Av;Public School;Sir Charles Tupper Secondary;"{""coordinates"": [-123.09480947999998, 49.249753501067595], ""type"": ""Point""}";Riley Park;49.2497535011, -123.09480948
3250 Kingsway;Public School;Sir Guy Carleton Community Elementary;"{""coordinates"": [-123.03760798, 49.234347746067506], ""type"": ""Point""}";Renfrew-Collingwood;49.2343477461, -123.03760798
1300 E 29th Av;Public School;Sir Richard McBride Elementary;"{""coordinates"": [-123.07817551, 49.244156609067566], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2441566091, -123.07817551
1950 E Hastings St;Public School;Sir William Macdonald Community;"{""coordinates"": [-123.06467911, 49.280723909067746], ""type"": ""Point""}";Grandview-Woodland;49.2807239091, -123.06467911
7055 Heather St;Public School;Sir Winston Churchill Secondary;"{""coordinates"": [-123.12561546, 49.22105956806746], ""type"": ""Point""}";Oakridge;49.2210595681, -123.12561546
5855 Ontario St;Public School;Sir Wm Van Horne Elementary;"{""coordinates"": [-123.10656921, 49.23156648606752], ""type"": ""Point""}";Oakridge;49.2315664861, -123.10656921
1370 W 73rd Av;Independent School;St Anthony of Padua;"{""coordinates"": [-123.13700792036838, 49.20446493818909], ""type"": ""Point""}";Marpole;49.2044649382, -123.13700792
2215 W 10th Av;Independent School;St John's School;"{""coordinates"": [-123.1561791428068, 49.26317767149081], ""type"": ""Point""}";Kitsilano;49.2631776715, -123.156179143
5239 Joyce St;Independent School;St Mary's;"{""coordinates"": [-123.03370590892874, 49.237501631148845], ""type"": ""Point""}";Renfrew-Collingwood;49.2375016311, -123.033705909
115 E 11th Av;Independent School;St Patrick Regional Secondary;"{""coordinates"": [-123.10260439171995, 49.261404544549904], ""type"": ""Point""}";Mount Pleasant;49.2614045445, -123.102604392
2850 Quebec St;Independent School;St Patrick's Elementary;"{""coordinates"": [-123.1024366967439, 49.259762302830595], ""type"": ""Point""}";Mount Pleasant;49.2597623028, -123.102436697
3155 E 27th Av;Public School;Sunny Hill Hospital Program;"{""coordinates"": [-123.0371743, 49.246512456067585], ""type"": ""Point""}";Renfrew-Collingwood;49.2465124561, -123.0371743
2325 Cassiar St;Public School;Thunderbird Elementary;"{""coordinates"": [-123.03187058558184, 49.263648890401456], ""type"": ""Point""}";Hastings-Sunrise;49.2636488904, -123.031870586
3525 Dumphries St;Public School;Tyee Elementary;"{""coordinates"": [-123.07382164, 49.25356935406761], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2535693541, -123.07382164
3496 Mons Drive;Independent School;Vancouver Christian;"{""coordinates"": [-123.02856693112142, 49.25471221591419], ""type"": ""Point""}";Renfrew-Collingwood;49.2547122159, -123.028566931
5400 Cartier St;Independent School;Vancouver College;"{""coordinates"": [-123.1361713344514, 49.23495941876865], ""type"": ""Point""}";Shaughnessy;49.2349594188, -123.136171334
1545 W 62nd Av;Independent School;Vancouver Hebrew Academy;"{""coordinates"": [-123.1413692647842, 49.21547172757715], ""type"": ""Point""}";Marpole;49.2154717276, -123.141369265
8650 Barnard St;Independent School;Vancouver Montessori School;"{""coordinates"": [-123.14463359946043, 49.20779039590787], ""type"": ""Point""}";Marpole;49.2077903959, -123.144633599
1000 E 59th Av;Public School;Walter Moberly Elementary;"{""coordinates"": [-123.08434542, 49.216109230067424], ""type"": ""Point""}";Sunset;49.2161092301, -123.08434542
3075 Slocan St;Independent School;Westside Montessori Academy;"{""coordinates"": [-123.0503919492473, 49.256937847571606], ""type"": ""Point""}";Renfrew-Collingwood;49.2569378476, -123.050391949
4176 Alexandra St;Independent School;York House School;"{""coordinates"": [-123.14034013611547, 49.248848218981884], ""type"": ""Point""}";Shaughnessy;49.248848219, -123.140340136
1351 Hornby St;Independent School;Anchor Point Montessori;"{""coordinates"": [-123.13091892226645, 49.277061847359775], ""type"": ""Point""}";Downtown;49.2770618474, -123.130918922
5025 Willow St;Public School;BCCH Eating Disorders School Program;"{""coordinates"": [-123.12579095999999, 49.23963096106753], ""type"": ""Point""}";South Cambie;49.2396309611, -123.12579096
3020 Heather St;Independent School;Blessed Sacrament School;"{""coordinates"": [-123.1193909103338, 49.2583379074734], ""type"": ""Point""}";Fairview;49.2583379075, -123.11939091
1788 W Broadway;Independent School;Century High School;"{""coordinates"": [-123.14531440269688, 49.263384758081116], ""type"": ""Point""}";Fairview;49.2633847581, -123.145314403
3877 Glen Drive;Public School;Charles Dickens Annex;"{""coordinates"": [-123.08271031, 49.2502130610676], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2502130611, -123.08271031
2882 E 4th Av;Public School;Chief Maquinna Annex;"{""coordinates"": [-123.04511809000002, 49.266421543067686], ""type"": ""Point""}";Hastings-Sunrise;49.2664215431, -123.04511809
3200 W 41st Av;Independent School;Crofton House;"{""coordinates"": [-123.17721815907593, 49.233677833584544], ""type"": ""Point""}";Kerrisdale;49.2336778336, -123.177218159
55 Expo Blvd;Public School;Crosstown Elementary;"{""coordinates"": [-123.106594, 49.27863099906775], ""type"": ""Point""}";Downtown;49.2786309991, -123.106594
6100 Battison St;Public School;Dr H N MacCorkindale Elementary;"{""coordinates"": [-123.02935503511594, 49.22799018553298], ""type"": ""Point""}";Killarney;49.2279901855, -123.029355035
2740 Guelph St;Public School;Florence Nightingale Elementary;"{""coordinates"": [-123.09371757, 49.260059324067655], ""type"": ""Point""}";Mount Pleasant;49.2600593241, -123.09371757
4860 Main St;Public School;General Brock Elementary;"{""coordinates"": [-123.10063141, 49.24121522106756], ""type"": ""Point""}";Riley Park;49.2412152211, -123.10063141
2055 Woodland Dr;Public School;Grandview Elementary;"{""coordinates"": [-123.0743697, 49.266193169067684], ""type"": ""Point""}";Grandview-Woodland;49.2661931691, -123.0743697
2500 Lakewood Drive;Public School;Laura Secord Elementary;"{""coordinates"": [-123.06022338, 49.26173570306765], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2617357031, -123.06022338
1100 Bidwell St;Public School;Lord Roberts Elementary;"{""coordinates"": [-123.13784476, 49.28678528206777], ""type"": ""Point""}";West End;49.2867852821, -123.13784476
1750 E 22nd Av;Public School;Lord Selkirk Elementary;"{""coordinates"": [-123.06900705, 49.249691952067586], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2496919521, -123.06900705
592 E Pender St;Public School;Lord Strathcona Community Elementary;"{""coordinates"": [-123.09147679242075, 49.27981151466552], ""type"": ""Point""}";Strathcona;49.2798115147, -123.091476792
6199 Cypress St;Public School;Maple Grove Elementary;"{""coordinates"": [-123.15151486, 49.22940869906749], ""type"": ""Point""}";Kerrisdale;49.2294086991, -123.15151486
2300 Guelph St;Public School;Mount Pleasant Elementary;"{""coordinates"": [-123.09399954, 49.26396573206767], ""type"": ""Point""}";Mount Pleasant;49.2639657321, -123.09399954
4102 W 16th Av;Public School;Norma Rose Point School;"{""coordinates"": [-123.20112784000001, 49.257791772067634], ""type"": ""Point""}";Dunbar-Southlands;49.2577917721, -123.20112784
2250 Eddington Drive;Public School;Prince of Wales Secondary;"{""coordinates"": [-123.15953565, 49.24498305306758], ""type"": ""Point""}";Arbutus-Ridge;49.2449830531, -123.15953565
1300 E Broadway;Public School;Queen Alexandra Elementary;"{""coordinates"": [-123.07592057, 49.261970549067655], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2619705491, -123.07592057
100 W 15th Av;Public School;Simon Fraser Elementary;"{""coordinates"": [-123.10819689943345, 49.25717135541721], ""type"": ""Point""}";Mount Pleasant;49.2571713554, -123.108196899
960 E 39th Av;StrongStart BC;Sir Alexander Mackenzie StrongStart;"{""coordinates"": [-123.08671432, 49.23453643506752], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2345364351, -123.08671432
6901 Elliott St;Public School;Sir Charles Kingsford-Smith;"{""coordinates"": [-123.0557042, 49.221596673067474], ""type"": ""Point""}";Victoria-Fraserview;49.2215966731, -123.0557042
7668 Borden St;Public School;Sir James Douglas Annex;"{""coordinates"": [-123.07329351, 49.214830464067425], ""type"": ""Point""}";Victoria-Fraserview;49.2148304641, -123.07329351
4750 St. Catherines St;Public School;Sir Richard McBride Annex;"{""coordinates"": [-123.08495018892324, 49.241944229212045], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2419442292, -123.084950189
1401 E 49th Av;Public School;Sir Sandford Fleming Elementary;"{""coordinates"": [-123.07657409, 49.22574768906748], ""type"": ""Point""}";Victoria-Fraserview;49.2257476891, -123.07657409
3323 Wellington Av;StrongStart BC;Sir Wilfred Grenfell StrongStart Centre;"{""coordinates"": [-123.0348073745407, 49.242891620676865], ""type"": ""Point""}";Renfrew-Collingwood;49.2428916207, -123.034807375
428 Great Northern Way;Independent School;St Francis Xavier;"{""coordinates"": [-123.09452064422761, 49.26646231107508], ""type"": ""Point""}";Mount Pleasant;49.2664623111, -123.094520644
1885 W Broadway;Independent School;St John's International;"{""coordinates"": [-123.14789881614395, 49.2640409804403], ""type"": ""Point""}";Kitsilano;49.2640409804, -123.147898816
3000 Commercial Drive;Independent School;Stratford Hall;"{""coordinates"": [-123.06946327228026, 49.257469215545306], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2574692155, -123.069463272
1551 E 37th Av;Public School;Tecumseh Annex;"{""coordinates"": [-123.07309884, 49.23711627206752], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2371162721, -123.07309884
1850 E 41st Av;Public School;Tecumseh Elementary;"{""coordinates"": [-123.06800394, 49.2320557420675], ""type"": ""Point""}";Victoria-Fraserview;49.2320557421, -123.06800394
788 Beatty St;Independent School;The Westside School;"{""coordinates"": [-123.11344354347607, 49.27757064431133], ""type"": ""Point""}";Downtown;49.2775706443, -123.113443543
1130 Keefer St;Public School;Admiral Seymour Elementary;"{""coordinates"": [-123.08031429999998, 49.27859426906773], ""type"": ""Point""}";Strathcona;49.2785942691, -123.0803143
1110 Cotton Drive;Public School;Britannia Community Elementary;"{""coordinates"": [-123.07137879542154, 49.27451200859733], ""type"": ""Point""}";Grandview-Woodland;49.2745120086, -123.071378795
7835 Champlain Crescent;Public School;Champlain Heights Annex;"{""coordinates"": [-123.03054968939806, 49.2140784317513], ""type"": ""Point""}";Killarney;49.2140784318, -123.030549689
7835 Champlain Crescent;StrongStart BC;Champlain Heights Annex StrongStart Cntr;"{""coordinates"": [-123.03054968939806, 49.2140784317513], ""type"": ""Point""}";Killarney;49.2140784318, -123.030549689
315 E 23rd Av;Public School;David Livingstone Elementary;"{""coordinates"": [-123.09798144, 49.2507533360676], ""type"": ""Point""}";Riley Park;49.2507533361, -123.09798144
2900 E 44th Av;Public School;Dr George M Weir Elementary;"{""coordinates"": [-123.04440254, 49.22957875906749], ""type"": ""Point""}";Killarney;49.2295787591, -123.04440254
500 W 20th Av;Public School;Edith Cavell Elementary;"{""coordinates"": [-123.11722884, 49.25290710906762], ""type"": ""Point""}";South Cambie;49.2529071091, -123.11722884
5025 Willow St;Public School;G F Strong School Program;"{""coordinates"": [-123.12579095999999, 49.23963096106753], ""type"": ""Point""}";South Cambie;49.2396309611, -123.12579096
4251 Ontario St;Public School;General Wolfe Elementary;"{""coordinates"": [-123.10596494, 49.247228706067595], ""type"": ""Point""}";Riley Park;49.2472287061, -123.10596494
2625 Franklin St;Public School;Hastings Community Elementary;"{""coordinates"": [-123.05057740868249, 49.28261095988815], ""type"": ""Point""}";Hastings-Sunrise;49.2826109599, -123.050577409
2490 W 37th Av;Independent School;Ivy Montessori School;"{""coordinates"": [-123.16209828723368, 49.238114800850234], ""type"": ""Point""}";Arbutus-Ridge;49.2381148009, -123.162098287
801 E 54th Av;Public School;John Henderson Annex;"{""coordinates"": [-123.08804322, 49.22104214306744], ""type"": ""Point""}";Sunset;49.2210421431, -123.08804322
5555 Carnarvon St;Public School;Kerrisdale Elementary;"{""coordinates"": [-123.17345921, 49.23616824506754], ""type"": ""Point""}";Dunbar-Southlands;49.2361682451, -123.17345921
6454 Killarney St;Public School;Killarney Secondary;"{""coordinates"": [-123.04415722000002, 49.22530010406748], ""type"": ""Point""}";Killarney;49.2253001041, -123.04415722
1936 W 10th Av;Public School;Lord Tennyson Elementary;"{""coordinates"": [-123.14937705, 49.262518934067664], ""type"": ""Point""}";Kitsilano;49.2625189341, -123.14937705
1950 E Hastings St;StrongStart BC;MacDonald StrongStart Centre;"{""coordinates"": [-123.06467911, 49.280723909067746], ""type"": ""Point""}";Grandview-Woodland;49.2807239091, -123.06467911
5750 Oak St;Independent School;Pacific Torah Institute;"{""coordinates"": [-123.12761225509908, 49.23342156632536], ""type"": ""Point""}";Oakridge;49.2334215663, -123.127612255
981 Nelson St;Independent School;Pattison High School;"{""coordinates"": [-123.12511331828341, 49.28108362095662], ""type"": ""Point""}";Downtown;49.281083621, -123.125113318
981 Nelson St;Independent School;Pattison School;"{""coordinates"": [-123.12511331828341, 49.28108362095662], ""type"": ""Point""}";Downtown;49.281083621, -123.125113318
5350 East Boulevard;Public School;Point Grey Secondary;"{""coordinates"": [-123.15343060436416, 49.23728903611385], ""type"": ""Point""}";Shaughnessy;49.2372890361, -123.153430604
5300 Maple St;Public School;Quilchena Elementary;"{""coordinates"": [-123.15157081, 49.23724621006754], ""type"": ""Point""}";Shaughnessy;49.2372462101, -123.15157081
8610 Ash St;Independent School;Royal Canadian College;"{""coordinates"": [-123.11860774594169, 49.20724201501598], ""type"": ""Point""}";Marpole;49.207242015, -123.118607746
3323 Wellington Av;Public School;Sir Wilfred Grenfell Community;"{""coordinates"": [-123.0348073745407, 49.242891620676865], ""type"": ""Point""}";Renfrew-Collingwood;49.2428916207, -123.034807375
7350 Laurel St;Public School;Sir Wilfrid Laurier Elementary;"{""coordinates"": [-123.12504721, 49.21776253406744], ""type"": ""Point""}";Marpole;49.2177625341, -123.12504721
2325 Cassiar St;StrongStart BC;Thunderbird StrongStart Centre;"{""coordinates"": [-123.03187058558184, 49.263648890401456], ""type"": ""Point""}";Hastings-Sunrise;49.2636488904, -123.031870586
2450 Cambridge St;StrongStart BC;Tillicum Annex StrongStart Centre;"{""coordinates"": [-123.05559853, 49.28626345506777], ""type"": ""Point""}";Hastings-Sunrise;49.2862634551, -123.05559853
2450 Cambridge St;Public School;Tillicum Community Annex;"{""coordinates"": [-123.05559853, 49.28626345506777], ""type"": ""Point""}";Hastings-Sunrise;49.2862634551, -123.05559853
4170 Trafalgar St;Public School;Trafalgar Elementary;"{""coordinates"": [-123.16460607, 49.250178756067605], ""type"": ""Point""}";Arbutus-Ridge;49.2501787561, -123.16460607
1580 W Broadway;Public School;Vancouver Alternate;"{""coordinates"": [-123.14026052001878, 49.26329988232251], ""type"": ""Point""}";Fairview;49.2632998823, -123.14026052
