Geom,Geo Local Area,id,address,category,name,latitude,longitude,junction_id,junction_dst
"{""coordinates"": [-123.09279776, 49.23195715006752], ""type"": ""Point""}",Sunset,138,530 E 41st Av,Public School,John Oliver Secondary,49.2319571501,-123.09279776,3551,129.65205763229775
"{""coordinates"": [-123.16358941, 49.262654772067656], ""type"": ""Point""}",Kitsilano,139,2550 W 10th Av,Public School,Kitsilano Secondary,49.2626547721,-123.16358941,888,90.90687439359046
"{""coordinates"": [-123.13038640000002, 49.25808403306762], ""type"": ""Point""}",Fairview,140,1166 W 14th Av,Public School,L'Ecole Bilingue Elementary,49.2580840331,-123.1303864,2075,27.861571920130483
"{""coordinates"": [-123.1925309529982, 49.259566550086106], ""type"": ""Point""}",West Point Grey,141,3939 W 16th Av,Public School,Lord Byng Secondary,49.2595665501,-123.192530953,204,115.88992003338608
"{""coordinates"": [-123.05971209, 49.27250773706771], ""type"": ""Point""}",Grandview-Woodland,142,2235 Kitchener St,Public School,Lord Nelson Elementary,49.2725077371,-123.05971209,5011,51.716591525526326
"{""coordinates"": [-123.05971209, 49.27250773706771], ""type"": ""Point""}",Grandview-Woodland,143,2235 Kitchener St,StrongStart BC,Lord Nelson StrongStart Centre,49.2725077371,-123.05971209,5011,51.716591525526326
"{""coordinates"": [-123.06900705, 49.249691952067586], ""type"": ""Point""}",Kensington-Cedar Cottage,144,1750 E 22nd Av,StrongStart BC,Lord Selkirk StrongStart Centre,49.2496919521,-123.06900705,4586,77.88107062931378
"{""coordinates"": [-123.15153798760876, 49.22855386506042], ""type"": ""Point""}",Kerrisdale,145,6360 Maple St,Public School,Magee Secondary,49.2285538651,-123.151537988,1222,66.42177791908195
"{""coordinates"": [-123.04294917, 49.25359297006762], ""type"": ""Point""}",Renfrew-Collingwood,146,3375 Nootka St,Public School,Nootka Community Elementary,49.2535929701,-123.04294917,5815,109.40565233587806
"{""coordinates"": [-123.04556662808874, 49.275802839348714], ""type"": ""Point""}",Hastings-Sunrise,147,2880 Venables St,Independent School,Notre Dame Regional Secondary,49.2758028393,-123.045566628,5681,47.69519645492734
"{""coordinates"": [-123.05015370472844, 49.27957121602082], ""type"": ""Point""}",Hastings-Sunrise,148,575 Slocan St,Independent School,Our Lady of Sorrows,49.279571216,-123.050153705,5535,81.64752235145932
"{""coordinates"": [-123.05595432992459, 49.28051480952856], ""type"": ""Point""}",Hastings-Sunrise,149,2409 E Pender St,Independent School,PALS Autism School,49.2805148095,-123.05595433,5225,53.978021234367425
"{""coordinates"": [-123.1982460233882, 49.267667982326586], ""type"": ""Point""}",West Point Grey,150,4196 W 4th Av,Independent School,Pacific Spirit School,49.2676679823,-123.198246023,149,157.92959759255487
"{""coordinates"": [-123.12761225509908, 49.23342156632536], ""type"": ""Point""}",Oakridge,151,5750 Oak St,Independent School,Pacific Torah Institute International,49.2334215663,-123.127612255,2162,58.78459992343866
"{""coordinates"": [-123.096959, 49.21445400406743], ""type"": ""Point""}",Sunset,152,449 E 62nd Av,Public School,Pierre Elliott Trudeau Elementary,49.2144540041,-123.096959,3375,69.57002118754498
"{""coordinates"": [-123.032313, 49.23634859906753], ""type"": ""Point""}",Renfrew-Collingwood,153,3417 Euclid Av,Public School,Prov. Early Intervention Resource Prg,49.2363485991,-123.032313,6150,94.62787303199698
"{""coordinates"": [-123.07592057, 49.261970549067655], ""type"": ""Point""}",Kensington-Cedar Cottage,154,1300 E Broadway,StrongStart BC,Queen Alexandra StrongStart Centre,49.2619705491,-123.07592057,4310,50.94244179276683
"{""coordinates"": [-123.19469107, 49.24893677906758], ""type"": ""Point""}",Dunbar-Southlands,155,4275 Crown St,Public School,Queen Elizabeth Annex,49.2489367791,-123.19469107,224,121.64899151755934
"{""coordinates"": [-123.20479699, 49.26785642206768], ""type"": ""Point""}",West Point Grey,156,2000 Trimble St,Public School,Queen Mary Elementary,49.2678564221,-123.20479699,88,83.31547143834135
"{""coordinates"": [-123.05026876999999, 49.27541639106772], ""type"": ""Point""}",Hastings-Sunrise,157,1025 Slocan St,Public School,SD 39 DL Elementary,49.2754163911,-123.05026877,5531,78.9327544513866
"{""coordinates"": [-123.0646531767478, 49.21604932869144], ""type"": ""Point""}",Victoria-Fraserview,158,2150 Brigadoon Av,Public School,Sir James Douglas Elementary,49.2160493287,-123.064653177,4808,60.89269111285299
"{""coordinates"": [-123.02758566, 49.28249619606777], ""type"": ""Point""}",Hastings-Sunrise,159,250S Skeena St,Public School,Sir John Franklin Community,49.2824961961,-123.02758566,6357,72.16528390060206
"{""coordinates"": [-123.03801003712412, 49.27183079984159], ""type"": ""Point""}",Hastings-Sunrise,160,1430 Lillooet St,Public School,Sir Matthew Begbie Elementary,49.2718307998,-123.038010037,5940,80.95348642982346
"{""coordinates"": [-123.11944529999998, 49.210717995067405], ""type"": ""Point""}",Marpole,161,590 W 65th Av,Public School,Sir Wilfrid Laurier Annex,49.2107179951,-123.1194453,2482,72.08132420121579
"{""coordinates"": [-123.13266216000001, 49.23076242206749], ""type"": ""Point""}",Oakridge,162,5970 Selkirk St,Public School,Sir William Osler Elementary,49.2307624221,-123.13266216,1998,69.52059686374442
"{""coordinates"": [-123.19781516, 49.23813758506754], ""type"": ""Point""}",Dunbar-Southlands,163,5351 Camosun St,Public School,Southlands Elementary,49.2381375851,-123.19781516,172,87.73153209574535
"{""coordinates"": [-123.09585589038312, 49.22721361145612], ""type"": ""Point""}",Sunset,164,450 E 47th Av,Independent School,St Andrew's,49.2272136115,-123.09585589,3399,118.37249594720265
"{""coordinates"": [-123.15355224259545, 49.26517255153582], ""type"": ""Point""}",Kitsilano,165,2145 W 8th Av,Independent School,St Augustine's,49.2651725515,-123.153552243,1198,67.80576354593592
"{""coordinates"": [-123.06504858875364, 49.276881634743646], ""type"": ""Point""}",Grandview-Woodland,166,870 Victoria Drive,Independent School,St Francis of Assisi,49.2768816347,-123.065048589,4760,49.3363510392915
"{""coordinates"": [-123.19846496388473, 49.24758226745896], ""type"": ""Point""}",Dunbar-Southlands,167,4175 W 29th Av,Independent School,St George's School,49.2475822675,-123.198464964,185,133.5545425797606
"{""coordinates"": [-123.0716470523458, 49.255914408245054], ""type"": ""Point""}",Kensington-Cedar Cottage,168,3261 Fleming St,Independent School,St Joseph's,49.2559144082,-123.071647052,4514,77.75901235040746
"{""coordinates"": [-123.04262672835044, 49.256545786691255], ""type"": ""Point""}",Renfrew-Collingwood,169,2953 E 15th Av,Independent School,St Jude's,49.2565457867,-123.042626728,5820,80.59610296381292
"{""coordinates"": [-123.06069106000001, 49.278439093067725], ""type"": ""Point""}",Grandview-Woodland,170,727 Templeton Drive,Public School,Templeton Secondary,49.2784390931,-123.06069106,4949,76.42825154696992
"{""coordinates"": [-123.1361713344514, 49.23495941876865], ""type"": ""Point""}",Shaughnessy,171,5400 Cartier St,Independent School,Vancouver College DL,49.2349594188,-123.136171334,1776,79.721402455618
"{""coordinates"": [-123.04636736023019, 49.233747421132286], ""type"": ""Point""}",Renfrew-Collingwood,172,5621 Killarney St,Independent School,Vancouver Formosa Academy,49.2337474211,-123.04636736,5661,47.12408140641095
"{""coordinates"": [-123.05129983999998, 49.260755475067654], ""type"": ""Point""}",Renfrew-Collingwood,173,2600 E Broadway,Public School,Vancouver Technical Secondary,49.2607554751,-123.05129984,5372,126.23231670538696
"{""coordinates"": [-123.08434542, 49.216109230067424], ""type"": ""Point""}",Sunset,174,1000 E 59th Av,StrongStart BC,Walter Moberly StrongStart Centre,49.2161092301,-123.08434542,3858,90.85053492456639
"{""coordinates"": [-123.05578593, 49.22783722506748], ""type"": ""Point""}",Victoria-Fraserview,175,6111 Elliott St,Public School,Waverley Elementary,49.2278372251,-123.05578593,5295,87.31596248156758
"{""coordinates"": [-123.05578593, 49.22783722506748], ""type"": ""Point""}",Victoria-Fraserview,176,6111 Elliott St,StrongStart BC,Waverley StrongStart Centre,49.2278372251,-123.05578593,5295,87.31596248156758
"{""coordinates"": [-123.1280001050362, 49.24857412675284], ""type"": ""Point""}",Shaughnessy,177,4157 Oak St,Independent School,Westside Montessori,49.2485741268,-123.128000105,2185,57.00528179244558
"{""coordinates"": [-123.0371743, 49.246512456067585], ""type"": ""Point""}",Renfrew-Collingwood,178,3155 E 27th Av,Public School,Windermere Community Secondary,49.2465124561,-123.0371743,6020,48.69949352357499
"{""coordinates"": [-123.152101, 49.25670999906763], ""type"": ""Point""}",Shaughnessy,179,3274 East Boulevard,Independent School,York House Little School,49.2567099991,-123.152101,1217,49.04638674197243
"{""coordinates"": [-123.17355723856548, 49.25658742134096], ""type"": ""Point""}",Arbutus-Ridge,180,3400 Balaclava St,Public School,Carnarvon Community Elementary,49.2565874213,-123.173557239,640,58.197486974652755
"{""coordinates"": [-123.02774835, 49.22064030106746], ""type"": ""Point""}",Killarney,181,6955 Frontenac St,Public School,Champlain Heights Community Elementary,49.2206403011,-123.02774835,6406,94.12355650117046
"{""coordinates"": [-123.08239063270196, 49.254854500002445], ""type"": ""Point""}",Kensington-Cedar Cottage,182,1010 E 17th Av,Public School,Charles Dickens Elementary,49.2548545,-123.082390633,4009,63.046348586857754
"{""coordinates"": [-123.05058984, 49.26788631306769], ""type"": ""Point""}",Hastings-Sunrise,183,2684 E 2nd Av,Public School,Chief Maquinna Elementary,49.2678863131,-123.05058984,5521,87.91430210370198
"{""coordinates"": [-123.032313, 49.23634859906753], ""type"": ""Point""}",Renfrew-Collingwood,184,3417 Euclid Av,StrongStart BC,Collingwood StrongStart Centre,49.2363485991,-123.032313,6150,94.62787303199698
"{""coordinates"": [-123.14026052001878, 49.26329988232251], ""type"": ""Point""}",Fairview,185,1580 W Broadway,Public School,Continuing Ed SD 39,49.2632998823,-123.14026052,1618,65.3801508411506
"{""coordinates"": [-123.13634890999998, 49.209962411067416], ""type"": ""Point""}",Marpole,186,8370 Cartier St,Public School,David Lloyd George Elementary,49.2099624111,-123.13634891,1839,105.7606413777025
"{""coordinates"": [-123.15401133, 49.21770658906743], ""type"": ""Point""}",Kerrisdale,187,7455 Maple St,Public School,Dr R E McKechnie Elementary,49.2177065891,-123.15401133,1155,57.82224600259364
"{""coordinates"": [-123.12579095999999, 49.23963096106753], ""type"": ""Point""}",South Cambie,188,5025 Willow St,Public School,Eric Hamber Secondary,49.2396309611,-123.12579096,2360,157.47780391469107
"{""coordinates"": [-123.12685921, 49.26710311106769], ""type"": ""Point""}",Fairview,189,900 School Green,Public School,False Creek Elementary,49.2671031111,-123.12685921,2249,48.84608405205803
"{""coordinates"": [-123.09371757, 49.260059324067655], ""type"": ""Point""}",Mount Pleasant,190,2740 Guelph St,StrongStart BC,Florence Nightingale StrongStart Centre,49.2600593241,-123.09371757,3581,61.756126115918654
"{""coordinates"": [-123.05026876999999, 49.27541639106772], ""type"": ""Point""}",Hastings-Sunrise,191,1025 Slocan St,Public School,Garibaldi Annex,49.2754163911,-123.05026877,5531,78.9327544513866
"{""coordinates"": [-123.18770751925071, 49.24759061248421], ""type"": ""Point""}",Dunbar-Southlands,192,3745 W 28th Av,Independent School,Immaculate Conception School,49.2475906125,-123.187707519,313,60.1625779816233
"{""coordinates"": [-123.08804322, 49.22104214306744], ""type"": ""Point""}",Sunset,193,801 E 54th Av,StrongStart BC,John Henderson StrongStart Centre,49.2210421431,-123.08804322,3808,94.24362739732477
"{""coordinates"": [-123.177405, 49.232867999067516], ""type"": ""Point""}",Kerrisdale,194,3250 W 43rd Av,Public School,Kerrisdale Annex,49.2328679991,-123.177405,526,94.91877809430335
