Geom,Geo Local Area,id,address,category,name,latitude,longitude,junction_id,junction_dst
"{""coordinates"": [-123.16244364510744, 49.269785798267485], ""type"": ""Point""}",Kitsilano,32,1819 Larch St,Independent School,Pacific Rim Montessori Academy,49.2697857983,-123.162443645,954,34.75407197418912
"{""coordinates"": [-123.14026052001878, 49.26329988232251], ""type"": ""Point""}",Fairview,33,1580 W Broadway,Public School,Peak House,49.2632998823,-123.14026052,1618,65.3801508411506
"{""coordinates"": [-123.20112784000001, 49.257791772067634], ""type"": ""Point""}",Dunbar-Southlands,34,4102 W 16th Av,Public School,Queen Elizabeth Elementary,49.2577917721,-123.20112784,137,80.63498534948435
"{""coordinates"": [-123.06634874, 49.267187849067696], ""type"": ""Point""}",Grandview-Woodland,35,1850 E 3rd Av,Public School,Queen Victoria Annex,49.2671878491,-123.06634874,4736,54.40128409548725
"{""coordinates"": [-123.03205805, 49.25145777406758], ""type"": ""Point""}",Renfrew-Collingwood,36,3315 E 22nd Av,Public School,Renfrew Community Elementary,49.2514577741,-123.03205805,6232,120.29788303073059
"{""coordinates"": [-123.14380998000001, 49.24867607506759], ""type"": ""Point""}",Shaughnessy,37,4250 Marguerite St,Public School,Shaughnessy Elementary,49.2486760751,-123.14380998,1487,108.83309105527634
"{""coordinates"": [-123.08671432, 49.23453643506752], ""type"": ""Point""}",Kensington-Cedar Cottage,38,960 E 39th Av,Public School,Sir Alexander Mackenzie Elementary,49.2345364351,-123.08671432,3814,84.07996911589224
"{""coordinates"": [-123.09480947999998, 49.249753501067595], ""type"": ""Point""}",Riley Park,39,419 E 24th Av,Public School,Sir Charles Tupper Secondary,49.2497535011,-123.09480948,3545,78.97327016339544
"{""coordinates"": [-123.03760798, 49.234347746067506], ""type"": ""Point""}",Renfrew-Collingwood,40,3250 Kingsway,Public School,Sir Guy Carleton Community Elementary,49.2343477461,-123.03760798,5966,61.9637952229521
"{""coordinates"": [-123.07817551, 49.244156609067566], ""type"": ""Point""}",Kensington-Cedar Cottage,41,1300 E 29th Av,Public School,Sir Richard McBride Elementary,49.2441566091,-123.07817551,4184,46.70917744160169
"{""coordinates"": [-123.06467911, 49.280723909067746], ""type"": ""Point""}",Grandview-Woodland,42,1950 E Hastings St,Public School,Sir William Macdonald Community,49.2807239091,-123.06467911,4769,80.90519176784231
"{""coordinates"": [-123.12561546, 49.22105956806746], ""type"": ""Point""}",Oakridge,43,7055 Heather St,Public School,Sir Winston Churchill Secondary,49.2210595681,-123.12561546,2277,53.047664791474396
"{""coordinates"": [-123.10656921, 49.23156648606752], ""type"": ""Point""}",Oakridge,44,5855 Ontario St,Public School,Sir Wm Van Horne Elementary,49.2315664861,-123.10656921,3000,66.2835809871138
"{""coordinates"": [-123.13700792036838, 49.20446493818909], ""type"": ""Point""}",Marpole,45,1370 W 73rd Av,Independent School,St Anthony of Padua,49.2044649382,-123.13700792,1809,51.60919538592891
"{""coordinates"": [-123.1561791428068, 49.26317767149081], ""type"": ""Point""}",Kitsilano,46,2215 W 10th Av,Independent School,St John's School,49.2631776715,-123.156179143,1120,69.89681659705887
"{""coordinates"": [-123.03370590892874, 49.237501631148845], ""type"": ""Point""}",Renfrew-Collingwood,47,5239 Joyce St,Independent School,St Mary's,49.2375016311,-123.033705909,6175,79.86490652014521
"{""coordinates"": [-123.10260439171995, 49.261404544549904], ""type"": ""Point""}",Mount Pleasant,48,115 E 11th Av,Independent School,St Patrick Regional Secondary,49.2614045445,-123.102604392,3112,42.68874105131619
"{""coordinates"": [-123.1024366967439, 49.259762302830595], ""type"": ""Point""}",Mount Pleasant,49,2850 Quebec St,Independent School,St Patrick's Elementary,49.2597623028,-123.102436697,3110,68.33194970447252
"{""coordinates"": [-123.0371743, 49.246512456067585], ""type"": ""Point""}",Renfrew-Collingwood,50,3155 E 27th Av,Public School,Sunny Hill Hospital Program,49.2465124561,-123.0371743,6020,48.69949352357499
"{""coordinates"": [-123.03187058558184, 49.263648890401456], ""type"": ""Point""}",Hastings-Sunrise,51,2325 Cassiar St,Public School,Thunderbird Elementary,49.2636488904,-123.031870586,6237,88.29581385943337
"{""coordinates"": [-123.07382164, 49.25356935406761], ""type"": ""Point""}",Kensington-Cedar Cottage,52,3525 Dumphries St,Public School,Tyee Elementary,49.2535693541,-123.07382164,4431,66.35242136205402
"{""coordinates"": [-123.02856693112142, 49.25471221591419], ""type"": ""Point""}",Renfrew-Collingwood,53,3496 Mons Drive,Independent School,Vancouver Christian,49.2547122159,-123.028566931,6391,76.19018036669362
"{""coordinates"": [-123.1361713344514, 49.23495941876865], ""type"": ""Point""}",Shaughnessy,54,5400 Cartier St,Independent School,Vancouver College,49.2349594188,-123.136171334,1776,79.721402455618
"{""coordinates"": [-123.1413692647842, 49.21547172757715], ""type"": ""Point""}",Marpole,55,1545 W 62nd Av,Independent School,Vancouver Hebrew Academy,49.2154717276,-123.141369265,1644,92.43947981336134
"{""coordinates"": [-123.14463359946043, 49.20779039590787], ""type"": ""Point""}",Marpole,56,8650 Barnard St,Independent School,Vancouver Montessori School,49.2077903959,-123.144633599,1467,91.7689133328395
"{""coordinates"": [-123.08434542, 49.216109230067424], ""type"": ""Point""}",Sunset,57,1000 E 59th Av,Public School,Walter Moberly Elementary,49.2161092301,-123.08434542,3858,90.85053492456639
"{""coordinates"": [-123.0503919492473, 49.256937847571606], ""type"": ""Point""}",Renfrew-Collingwood,58,3075 Slocan St,Independent School,Westside Montessori Academy,49.2569378476,-123.050391949,5514,64.03866506342817
"{""coordinates"": [-123.14034013611547, 49.248848218981884], ""type"": ""Point""}",Shaughnessy,59,4176 Alexandra St,Independent School,York House School,49.248848219,-123.140340136,1588,100.18198403113436
"{""coordinates"": [-123.13091892226645, 49.277061847359775], ""type"": ""Point""}",Downtown,60,1351 Hornby St,Independent School,Anchor Point Montessori,49.2770618474,-123.130918922,2033,72.50374752067708
"{""coordinates"": [-123.12579095999999, 49.23963096106753], ""type"": ""Point""}",South Cambie,61,5025 Willow St,Public School,BCCH Eating Disorders School Program,49.2396309611,-123.12579096,2360,157.47780391469107
"{""coordinates"": [-123.1193909103338, 49.2583379074734], ""type"": ""Point""}",Fairview,62,3020 Heather St,Independent School,Blessed Sacrament School,49.2583379075,-123.11939091,2502,55.30111823926496
"{""coordinates"": [-123.14531440269688, 49.263384758081116], ""type"": ""Point""}",Fairview,63,1788 W Broadway,Independent School,Century High School,49.2633847581,-123.145314403,1450,47.523818951417454
"{""coordinates"": [-123.08271031, 49.2502130610676], ""type"": ""Point""}",Kensington-Cedar Cottage,64,3877 Glen Drive,Public School,Charles Dickens Annex,49.2502130611,-123.08271031,4001,65.29459802934565
"{""coordinates"": [-123.04511809000002, 49.266421543067686], ""type"": ""Point""}",Hastings-Sunrise,65,2882 E 4th Av,Public School,Chief Maquinna Annex,49.2664215431,-123.04511809,5726,68.98664719653203
"{""coordinates"": [-123.17721815907593, 49.233677833584544], ""type"": ""Point""}",Kerrisdale,66,3200 W 41st Av,Independent School,Crofton House,49.2336778336,-123.177218159,609,108.86684719731693
"{""coordinates"": [-123.106594, 49.27863099906775], ""type"": ""Point""}",Downtown,67,55 Expo Blvd,Public School,Crosstown Elementary,49.2786309991,-123.106594,2985,72.8036544382444
"{""coordinates"": [-123.02935503511594, 49.22799018553298], ""type"": ""Point""}",Killarney,68,6100 Battison St,Public School,Dr H N MacCorkindale Elementary,49.2279901855,-123.029355035,6382,114.49634955523985
"{""coordinates"": [-123.09371757, 49.260059324067655], ""type"": ""Point""}",Mount Pleasant,69,2740 Guelph St,Public School,Florence Nightingale Elementary,49.2600593241,-123.09371757,3581,61.756126115918654
"{""coordinates"": [-123.10063141, 49.24121522106756], ""type"": ""Point""}",Riley Park,70,4860 Main St,Public School,General Brock Elementary,49.2412152211,-123.10063141,3265,91.7645962220857
"{""coordinates"": [-123.0743697, 49.266193169067684], ""type"": ""Point""}",Grandview-Woodland,71,2055 Woodland Dr,Public School,Grandview Elementary,49.2661931691,-123.0743697,4402,63.33216792293518
"{""coordinates"": [-123.06022338, 49.26173570306765], ""type"": ""Point""}",Kensington-Cedar Cottage,72,2500 Lakewood Drive,Public School,Laura Secord Elementary,49.2617357031,-123.06022338,4994,50.355074271944176
"{""coordinates"": [-123.13784476, 49.28678528206777], ""type"": ""Point""}",West End,73,1100 Bidwell St,Public School,Lord Roberts Elementary,49.2867852821,-123.13784476,1739,96.58344763207013
"{""coordinates"": [-123.06900705, 49.249691952067586], ""type"": ""Point""}",Kensington-Cedar Cottage,74,1750 E 22nd Av,Public School,Lord Selkirk Elementary,49.2496919521,-123.06900705,4586,77.88107062931378
"{""coordinates"": [-123.09147679242075, 49.27981151466552], ""type"": ""Point""}",Strathcona,75,592 E Pender St,Public School,Lord Strathcona Community Elementary,49.2798115147,-123.091476792,3615,46.43330245044782
"{""coordinates"": [-123.15151486, 49.22940869906749], ""type"": ""Point""}",Kerrisdale,76,6199 Cypress St,Public School,Maple Grove Elementary,49.2294086991,-123.15151486,1223,68.25644071532783
"{""coordinates"": [-123.09399954, 49.26396573206767], ""type"": ""Point""}",Mount Pleasant,77,2300 Guelph St,Public School,Mount Pleasant Elementary,49.2639657321,-123.09399954,3506,77.93974195482421
