stop_code,stop_id,stop_name,zone_id,latitude,longitude,junction_id,junction_dst
51537,1549,Eastbound Kincaid St @ Boundary Rd,BUS ZN,49.24878,-123.023043,6510,110.48261964122025
58721,11563,Southbound Burrard St @ Burnaby St,BUS ZN,49.278573,-123.130164,2077,23.069082922413617
50362,366,Southbound Dunbar St @ W 17 Ave,BUS ZN,49.257067,-123.185245,405,32.71085705888289
50256,258,Southbound Main St @ E 46 Ave,BUS ZN,49.228145,-123.101625,3191,36.34515275281588
50361,365,Southbound Dunbar St @ W 15 Ave,BUS ZN,49.258657,-123.184116,410,29.334207940819326
50250,252,Southbound Main St @ E 36 Ave,BUS ZN,49.23788,-123.101715,3186,31.04061371725379
50248,250,Southbound Main St @ E 30 Ave,BUS ZN,49.243003,-123.101498,3202,32.7700198396288
50249,251,Southbound Main St @ E 33 Ave,BUS ZN,49.240211,-123.101629,3196,33.784544426809106
59041,256,Southbound Main St @ E 41 Ave,BUS ZN,49.232735,-123.101636,3194,25.741903152364745
50255,257,Southbound Main St @ E 43 Ave,BUS ZN,49.230612,-123.101591,3198,33.52725943539768
50253,255,Eastbound E 41 Ave @ Main St,BUS ZN,49.232967,-123.101913,3193,32.02664469921886
61917,12036,Westbound W Pender St @ Howe St,BUS ZN,49.285131,-123.115432,2663,33.67992891256055
61925,12034,Waterfront Station,ZN 1,49.285687,-123.111773,2796,42.69067935770634
50357,361,Southbound Alma St @ W 10 Ave,BUS ZN,49.26367,-123.186028,355,24.54828008275056
58762,10439,Southbound Fraser St @ SE Marine Dr,BUS ZN,49.211303,-123.091221,3623,34.30138550810285
59576,10180,Northbound N Boundary Rd @ Eton St,BUS ZN,49.287718,-123.023214,6557,17.0102059782568
51150,1159,Eastbound Kingsway @ McKinnon St,BUS ZN,49.234792,-123.037515,5983,34.38229913433431
51149,1158,Eastbound Kingsway @ Rupert St,BUS ZN,49.235786,-123.041963,5786,29.729495030883356
51145,1154,Eastbound Kingsway @ Miller St,BUS ZN,49.246687,-123.06866,4613,9.709976278103891
51148,1157,Eastbound Kingsway @ Killarney St,BUS ZN,49.236159,-123.045333,5675,24.034976403218113
51147,1156,Eastbound Kingsway @ Earles St,BUS ZN,49.23728,-123.048397,5557,47.190500314488254
51142,1151,Eastbound Kingsway @ Knight St,BUS ZN,49.249736,-123.075484,4279,46.83242755117742
51141,1150,Eastbound Kingsway @ Clark Dr,BUS ZN,49.250834,-123.077633,4189,26.203615872481034
51144,1153,Eastbound Kingsway @ Perry St,BUS ZN,49.247719,-123.070924,4506,36.6186488642415
51143,1152,Eastbound Kingsway @ Dumfries St,BUS ZN,49.24866,-123.072988,4418,33.826742454148125
57960,8035,Waterfront Station Northbound,ZN 1,49.286063,-123.111306,2796,93.52944945336102
57959,8034,Waterfront Station Unload Only,WCE1Z,49.286116,-123.111512,2796,93.55711527648299
57964,8039,Waterfront Station @ Platform 2,ZN 1,49.285907,-123.111578,2796,69.94379540282657
57963,8038,Waterfront Station Southbound,ZN 1,49.286137,-123.111403,2796,98.28543037577612
60342,12581,Southbound Cambie St @ W Georgia St,BUS ZN,49.279676,-123.112876,2738,45.98412217998607
50137,12585,Eastbound W 41 Ave @ Cambie St,BUS ZN,49.233415,-123.115623,2641,42.46765866758725
59393,10047,Westbound Beach Ave @ Hornby St,BUS ZN,49.275543,-123.132974,1964,25.809743136752246
58042,8139,Kootenay Loop @ Bay 2,BUS ZN,49.281495,-123.026062,6457,50.497359749051476
50151,151,Northbound Main St @ E 49 Ave,BUS ZN,49.225975,-123.10147,3180,36.86933210694656
50150,150,Northbound Main St @ E 51 Ave,BUS ZN,49.223638,-123.101593,3178,15.267122016832413
59842,152,Northbound Main St @ E 46 Ave,BUS ZN,49.228719,-123.101386,3191,29.819937376996517
50155,155,Northbound Main St @ E 41 Ave,BUS ZN,49.233445,-123.101394,3189,20.444614098208557
